period,company_code,branch_id,biz_line_id,account_code,opening_balance,debit_amount,credit_amount,ending_balance
2025-03,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,25098997.16,0.0,25098997.16
2025-03,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,25098997.16,25098997.16
2025-03,CJSC_SYNTH,B005,WEALTH,1122,0.0,3371851.17,0.0,3371851.17
2025-03,CJSC_SYNTH,B005,WEALTH,6022,0.0,0.0,3371851.17,3371851.17
2025-03,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,22310219.7,0.0,22310219.7
2025-03,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,22310219.7,22310219.7
2025-03,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,39042884.47,0.0,39042884.47
2025-03,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,39042884.47,39042884.47
2025-03,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,25098997.16,0.0,25098997.16
2025-03,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,25098997.16,25098997.16
2025-04,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,42443832.6,0.0,42443832.6
2025-04,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,42443832.6,42443832.6
2025-04,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,53054790.75,0.0,53054790.75
2025-04,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,53054790.75,53054790.75
2025-04,CJSC_SYNTH,B002,WEALTH,1122,0.0,3207370.63,0.0,3207370.63
2025-04,CJSC_SYNTH,B002,WEALTH,6022,0.0,0.0,3207370.63,3207370.63
2025-04,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,24403001.3,0.0,24403001.3
2025-04,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,24403001.3,24403001.3
2025-04,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,29180134.91,0.0,29180134.91
2025-04,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,29180134.91,29180134.91
2025-04,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,23874655.84,0.0,23874655.84
2025-04,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,23874655.84,23874655.84
2025-04,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,21221916.29,0.0,21221916.29
2025-04,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,21221916.29,21221916.29
2025-04,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,37138353.53,0.0,37138353.53
2025-04,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,37138353.53,37138353.53
2025-04,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,23874655.84,0.0,23874655.84
2025-04,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,23874655.84,23874655.84
2025-05,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,46252894.5,0.0,46252894.5
2025-05,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,46252894.5,46252894.5
2025-05,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,59539335.38,0.0,59539335.38
2025-05,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,59539335.38,59539335.38
2025-05,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,37580476.78,0.0,37580476.78
2025-05,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,37580476.78,37580476.78
2025-05,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,31798864.97,0.0,31798864.97
2025-05,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,31798864.97,31798864.97
2025-05,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,26017253.15,0.0,26017253.15
2025-05,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,26017253.15,26017253.15
2025-05,CJSC_SYNTH,B005,WEALTH,1122,0.0,3495211.58,0.0,3495211.58
2025-05,CJSC_SYNTH,B005,WEALTH,6022,0.0,0.0,3495211.58,3495211.58
2025-05,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,23126447.25,0.0,23126447.25
2025-05,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,23126447.25,23126447.25
2025-05,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,40471282.7,0.0,40471282.7
2025-05,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,40471282.7,40471282.7
2025-05,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,26017253.17,0.0,26017253.17
2025-05,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,26017253.17,26017253.17
2025-06,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,44076287.71,0.0,44076287.71
2025-06,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,44076287.71,44076287.71
2025-06,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,55095359.62,0.0,55095359.62
2025-06,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,55095359.62,55095359.62
2025-06,CJSC_SYNTH,B002,WEALTH,1122,0.0,3330731.04,0.0,3330731.04
2025-06,CJSC_SYNTH,B002,WEALTH,6022,0.0,0.0,3330731.04,3330731.04
2025-06,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,35811983.76,0.0,35811983.76
2025-06,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,35811983.76,35811983.76
2025-06,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,30302447.81,0.0,30302447.81
2025-06,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,30302447.81,30302447.81
2025-06,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,24792911.83,0.0,24792911.83
2025-06,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,24792911.83,24792911.83
2025-06,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,22038143.85,0.0,22038143.85
2025-06,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,22038143.85,22038143.85
2025-06,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,38566751.74,0.0,38566751.74
2025-06,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,38566751.74,38566751.74
2025-06,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,24792911.83,0.0,24792911.83
2025-06,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,24792911.83,24792911.83
2025-07,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,41355529.2,0.0,41355529.2
2025-07,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,41355529.2,41355529.2
2025-07,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,51694411.5,0.0,51694411.5
2025-07,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,51694411.5,51694411.5
2025-07,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,33601367.48,0.0,33601367.48
2025-07,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,33601367.48,33601367.48
2025-07,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,28431926.32,0.0,28431926.32
2025-07,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,28431926.32,28431926.32
2025-07,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,23262485.18,0.0,23262485.18
2025-07,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,23262485.18,23262485.18
2025-07,CJSC_SYNTH,B005,WEALTH,1122,0.0,3125130.36,0.0,3125130.36
2025-07,CJSC_SYNTH,B005,WEALTH,6022,0.0,0.0,3125130.36,3125130.36
2025-07,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,20677764.6,0.0,20677764.6
2025-07,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,20677764.6,20677764.6
2025-07,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,36186088.06,0.0,36186088.06
2025-07,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,36186088.06,36186088.06
2025-07,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,23262485.18,0.0,23262485.18
2025-07,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,23262485.18,23262485.18
2025-08,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,42987984.3,0.0,42987984.3
2025-08,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,42987984.3,42987984.3
2025-08,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,53734980.38,0.0,53734980.38
2025-08,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,53734980.38,53734980.38
2025-08,CJSC_SYNTH,B002,WEALTH,1122,0.0,3248490.76,0.0,3248490.76
2025-08,CJSC_SYNTH,B002,WEALTH,6022,0.0,0.0,3248490.76,3248490.76
2025-08,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,34927737.25,0.0,34927737.25
2025-08,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,34927737.25,34927737.25
2025-08,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,29554239.21,0.0,29554239.21
2025-08,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,29554239.21,29554239.21
2025-08,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,24180741.17,0.0,24180741.17
2025-08,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,24180741.17,24180741.17
2025-08,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,21493992.15,0.0,21493992.15
2025-08,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,21493992.15,21493992.15
2025-08,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,37614486.26,0.0,37614486.26
2025-08,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,37614486.26,37614486.26
2025-08,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,24180741.17,0.0,24180741.17
2025-08,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,24180741.17,24180741.17
2025-09,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,49517804.7,0.0,49517804.7
2025-09,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,49517804.7,49517804.7
2025-09,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,61897255.87,0.0,61897255.87
2025-09,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,61897255.87,61897255.87
2025-09,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,40233216.32,0.0,40233216.32
2025-09,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,40233216.32,40233216.32
2025-09,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,34043490.73,0.0,34043490.73
2025-09,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,34043490.73,34043490.73
2025-09,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,27853765.15,0.0,27853765.15
2025-09,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,27853765.15,27853765.15
2025-09,CJSC_SYNTH,B005,WEALTH,1122,0.0,3741932.4,0.0,3741932.4
2025-09,CJSC_SYNTH,B005,WEALTH,6021,0.0,0.0,3741932.4,3741932.4
2025-09,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,24758902.35,0.0,24758902.35
2025-09,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,24758902.35,24758902.35
2025-09,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,43328079.12,0.0,43328079.12
2025-09,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,43328079.12,43328079.12
2025-09,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,27853765.15,0.0,27853765.15
2025-09,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,27853765.15,27853765.15
2025-10,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,46797046.21,0.0,46797046.21
2025-10,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,46797046.21,46797046.21
2025-10,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,58496307.76,0.0,58496307.76
2025-10,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,58496307.76,58496307.76
2025-10,CJSC_SYNTH,B002,WEALTH,1122,0.0,3536331.72,0.0,3536331.72
2025-10,CJSC_SYNTH,B002,WEALTH,6021,0.0,0.0,3536331.72,3536331.72
2025-10,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,38022600.05,0.0,38022600.05
2025-10,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,38022600.05,38022600.05
2025-10,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,32172969.27,0.0,32172969.27
2025-10,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,32172969.27,32172969.27
2025-10,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,26323338.5,0.0,26323338.5
2025-10,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,26323338.5,26323338.5
2025-10,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,23398523.1,0.0,23398523.1
2025-10,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,23398523.1,23398523.1
2025-10,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,40947415.43,0.0,40947415.43
2025-10,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,40947415.43,40947415.43
2025-10,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,26323338.49,0.0,26323338.49
2025-10,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,26323338.49,26323338.49
2025-11,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,53326866.6,0.0,53326866.6
2025-11,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,53326866.6,53326866.6
2025-11,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,66658583.26,0.0,66658583.26
2025-11,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,66658583.26,66658583.26
2025-11,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,43328079.13,0.0,43328079.13
2025-11,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,43328079.13,43328079.13
2025-11,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,36662220.79,0.0,36662220.79
2025-11,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,36662220.79,36662220.79
2025-11,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,29996362.47,0.0,29996362.47
2025-11,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,29996362.47,29996362.47
2025-11,CJSC_SYNTH,B005,WEALTH,1122,0.0,4029773.35,0.0,4029773.35
2025-11,CJSC_SYNTH,B005,WEALTH,6022,0.0,0.0,4029773.35,4029773.35
2025-11,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,26663433.29,0.0,26663433.29
2025-11,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,26663433.29,26663433.29
2025-11,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,46661008.27,0.0,46661008.27
2025-11,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,46661008.27,46661008.27
2025-11,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,29996362.46,0.0,29996362.46
2025-11,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,29996362.46,29996362.46
2025-12,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,57680080.2,0.0,57680080.2
2025-12,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,57680080.2,57680080.2
2025-12,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,72100100.26,0.0,72100100.26
2025-12,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,72100100.26,72100100.26
2025-12,CJSC_SYNTH,B002,WEALTH,1122,0.0,4358734.44,0.0,4358734.44
2025-12,CJSC_SYNTH,B002,WEALTH,6022,0.0,0.0,4358734.44,4358734.44
2025-12,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,46865065.17,0.0,46865065.17
2025-12,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,46865065.17,46865065.17
2025-12,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,39655055.15,0.0,39655055.15
2025-12,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,39655055.15,39655055.15
2025-12,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,32445045.12,0.0,32445045.12
2025-12,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,32445045.12,32445045.12
2025-12,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,28840040.1,0.0,28840040.1
2025-12,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,28840040.1,28840040.1
2025-12,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,50470070.18,0.0,50470070.18
2025-12,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,50470070.18,50470070.18
2025-12,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,32445045.11,0.0,32445045.11
2025-12,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,32445045.11,32445045.11
