driver_id,period,rule_id,target_id,target_type,driver_value,driver_weight
DRV00016_B002,2025-02,RULE_202502_06_V2,B002,BRANCH,273.4,0.19665182
DRV00016_B003,2025-02,RULE_202502_06_V2,B003,BRANCH,119.81,0.08617391
DRV00016_B004,2025-02,RULE_202502_06_V2,B004,BRANCH,149.92,0.10783553
DRV00016_B005,2025-02,RULE_202502_06_V2,B005,BRANCH,181.67,0.13067025
DRV00016_B006,2025-02,RULE_202502_06_V2,B006,BRANCH,222.31,0.15990558
DRV00016_B007,2025-02,RULE_202502_06_V2,B007,BRANCH,71.93,0.05173772
DRV00016_B008,2025-02,RULE_202502_06_V2,B008,BRANCH,87.96,0.06326797
DRV00017_B001,2025-02,RULE_202502_07_V2,B001,BRANCH,292.95,0.17317868
DRV00017_B002,2025-02,RULE_202502_07_V2,B002,BRANCH,274.04,0.16200442
DRV00017_B003,2025-02,RULE_202502_07_V2,B003,BRANCH,296.31,0.17516598
DRV00017_B004,2025-02,RULE_202502_07_V2,B004,BRANCH,140.81,0.08323993
DRV00017_B005,2025-02,RULE_202502_07_V2,B005,BRANCH,171.97,0.1016614
DRV00017_B006,2025-02,RULE_202502_07_V2,B006,BRANCH,102.25,0.06044391
DRV00017_B007,2025-02,RULE_202502_07_V2,B007,BRANCH,251.98,0.14895921
DRV00017_B008,2025-02,RULE_202502_07_V2,B008,BRANCH,161.29,0.09534646
DRV00018_B001,2025-02,RULE_202502_08_V2,B001,BRANCH,307.27,0.16648489
DRV00018_B002,2025-02,RULE_202502_08_V2,B002,BRANCH,341.33,0.18493552
DRV00018_B003,2025-02,RULE_202502_08_V2,B003,BRANCH,177.36,0.0960939
DRV00018_B004,2025-02,RULE_202502_08_V2,B004,BRANCH,213.06,0.11544169
DRV00018_B005,2025-02,RULE_202502_08_V2,B005,BRANCH,180.08,0.09756964
DRV00018_B006,2025-02,RULE_202502_08_V2,B006,BRANCH,247.18,0.13392662
DRV00018_B007,2025-02,RULE_202502_08_V2,B007,BRANCH,156.9,0.08500975
DRV00018_B008,2025-02,RULE_202502_08_V2,B008,BRANCH,222.47,0.120538
DRV00019_B001,2025-02,RULE_202502_09_V2,B001,BRANCH,135.33,0.10076006
DRV00019_B002,2025-02,RULE_202502_09_V2,B002,BRANCH,50.37,0.03750518
DRV00019_B003,2025-02,RULE_202502_09_V2,B003,BRANCH,266.69,0.19855761
DRV00019_B004,2025-02,RULE_202502_09_V2,B004,BRANCH,199.64,0.14864202
DRV00019_B005,2025-02,RULE_202502_09_V2,B005,BRANCH,57.48,0.04279886
DRV00019_B006,2025-02,RULE_202502_09_V2,B006,BRANCH,270.85,0.20165644
DRV00019_B007,2025-02,RULE_202502_09_V2,B007,BRANCH,149.51,0.11131734
DRV00019_B008,2025-02,RULE_202502_09_V2,B008,BRANCH,213.24,0.15876248
DRV00020_B001,2025-02,RULE_202502_10_V2,B001,BRANCH,195.04,0.20671122
DRV00020_B002,2025-02,RULE_202502_10_V2,B002,BRANCH,266.22,0.28215035
DRV00020_B003,2025-02,RULE_202502_10_V2,B003,BRANCH,32.5,0.0344453
DRV00020_B004,2025-02,RULE_202502_10_V2,B004,BRANCH,82.96,0.08792126
DRV00020_B005,2025-02,RULE_202502_10_V2,B005,BRANCH,59.31,0.06285467
DRV00020_B006,2025-02,RULE_202502_10_V2,B006,BRANCH,126.93,0.13452172
DRV00020_B007,2025-02,RULE_202502_10_V2,B007,BRANCH,43.69,0.04630912
DRV00020_B008,2025-02,RULE_202502_10_V2,B008,BRANCH,136.89,0.14508636
DRV00021_B001,2025-03,RULE_202503_01_V2,B001,BRANCH,193.64,0.12991006
DRV00021_B002,2025-03,RULE_202503_01_V2,B002,BRANCH,632.34,0.42422181
DRV00021_B003,2025-03,RULE_202503_01_V2,B003,BRANCH,42.13,0.02826113
DRV00021_B004,2025-03,RULE_202503_01_V2,B004,BRANCH,83.37,0.05593107
DRV00021_B005,2025-03,RULE_202503_01_V2,B005,BRANCH,45.3,0.03039133
DRV00021_B006,2025-03,RULE_202503_01_V2,B006,BRANCH,197.9,0.13276808
DRV00021_B007,2025-03,RULE_202503_01_V2,B007,BRANCH,100.49,0.067417
DRV00021_B008,2025-03,RULE_202503_01_V2,B008,BRANCH,195.41,0.13109953
DRV00022_B001,2025-03,RULE_202503_02_V2,B001,BRANCH,93.43,0.07608279
DRV00022_B002,2025-03,RULE_202503_02_V2,B002,BRANCH,265.67,0.21633948
DRV00022_B003,2025-03,RULE_202503_02_V2,B003,BRANCH,198.34,0.1615127
DRV00022_B004,2025-03,RULE_202503_02_V2,B004,BRANCH,69.23,0.05637217
DRV00022_B005,2025-03,RULE_202503_02_V2,B005,BRANCH,101.06,0.08229156
DRV00022_B006,2025-03,RULE_202503_02_V2,B006,BRANCH,90.57,0.07375284
DRV00022_B007,2025-03,RULE_202503_02_V2,B007,BRANCH,147.19,0.11985731
DRV00022_B008,2025-03,RULE_202503_02_V2,B008,BRANCH,262.54,0.21379115
DRV00023_B001,2025-03,RULE_202503_03_V2,B001,BRANCH,205.73,0.10567046
DRV00023_B002,2025-03,RULE_202503_03_V2,B002,BRANCH,431.94,0.22186234
DRV00023_B003,2025-03,RULE_202503_03_V2,B003,BRANCH,453.75,0.23306247
DRV00023_B004,2025-03,RULE_202503_03_V2,B004,BRANCH,188.14,0.09663435
DRV00023_B005,2025-03,RULE_202503_03_V2,B005,BRANCH,218.84,0.1124053
DRV00023_B006,2025-03,RULE_202503_03_V2,B006,BRANCH,188.3,0.09671896
DRV00023_B007,2025-03,RULE_202503_03_V2,B007,BRANCH,53.47,0.02746581
DRV00023_B008,2025-03,RULE_202503_03_V2,B008,BRANCH,206.72,0.10618031
DRV00024_B001,2025-03,RULE_202503_04_V2,B001,BRANCH,235.94,0.15995144
DRV00024_B002,2025-03,RULE_202503_04_V2,B002,BRANCH,181.86,0.12328879
DRV00024_B003,2025-03,RULE_202503_04_V2,B003,BRANCH,164.76,0.11169235
DRV00024_B004,2025-03,RULE_202503_04_V2,B004,BRANCH,136.5,0.09253803
DRV00024_B005,2025-03,RULE_202503_04_V2,B005,BRANCH,197.24,0.13371625
DRV00024_B006,2025-03,RULE_202503_04_V2,B006,BRANCH,132.9,0.09009886
DRV00024_B007,2025-03,RULE_202503_04_V2,B007,BRANCH,194.28,0.13170444
DRV00024_B008,2025-03,RULE_202503_04_V2,B008,BRANCH,231.6,0.15700985
DRV00025_B001,2025-03,RULE_202503_05_V2,B001,BRANCH,126.2,0.09451222
DRV00025_B002,2025-03,RULE_202503_05_V2,B002,BRANCH,33.25,0.02489897
DRV00025_B003,2025-03,RULE_202503_05_V2,B003,BRANCH,181.24,0.13572927
DRV00025_B004,2025-03,RULE_202503_05_V2,B004,BRANCH,275.35,0.20621137
DRV00025_B005,2025-03,RULE_202503_05_V2,B005,BRANCH,128.32,0.09609604
DRV00025_B006,2025-03,RULE_202503_05_V2,B006,BRANCH,275.55,0.20636372
DRV00025_B007,2025-03,RULE_202503_05_V2,B007,BRANCH,223.37,0.16727901
DRV00025_B008,2025-03,RULE_202503_05_V2,B008,BRANCH,92.01,0.06890941
DRV00026_B001,2025-03,RULE_202503_06_V2,B001,BRANCH,274.79,0.16237156
DRV00026_B002,2025-03,RULE_202503_06_V2,B002,BRANCH,378.54,0.22367458
DRV00026_B003,2025-03,RULE_202503_06_V2,B003,BRANCH,159.59,0.09430094
DRV00026_B004,2025-03,RULE_202503_06_V2,B004,BRANCH,282.11,0.1666943
DRV00026_B005,2025-03,RULE_202503_06_V2,B005,BRANCH,129.09,0.07627459
DRV00026_B006,2025-03,RULE_202503_06_V2,B006,BRANCH,40.51,0.02393509
DRV00026_B007,2025-03,RULE_202503_06_V2,B007,BRANCH,259.85,0.15354331
DRV00026_B008,2025-03,RULE_202503_06_V2,B008,BRANCH,167.89,0.09920562
DRV00027_B001,2025-03,RULE_202503_07_V2,B001,BRANCH,206.06,0.13563596
DRV00027_B002,2025-03,RULE_202503_07_V2,B002,BRANCH,217.34,0.14305513
DRV00027_B003,2025-03,RULE_202503_07_V2,B003,BRANCH,286.06,0.18829286
DRV00027_B004,2025-03,RULE_202503_07_V2,B004,BRANCH,139.13,0.09158062
DRV00027_B005,2025-03,RULE_202503_07_V2,B005,BRANCH,153.61,0.10111199
DRV00027_B006,2025-03,RULE_202503_07_V2,B006,BRANCH,173.37,0.11411603
DRV00027_B007,2025-03,RULE_202503_07_V2,B007,BRANCH,96.42,0.06346492
DRV00027_B008,2025-03,RULE_202503_07_V2,B008,BRANCH,247.25,0.1627425
DRV00028_B001,2025-03,RULE_202503_08_V2,B001,BRANCH,331.15,0.22271062
DRV00028_B002,2025-03,RULE_202503_08_V2,B002,BRANCH,268.81,0.18078229
DRV00028_B003,2025-03,RULE_202503_08_V2,B003,BRANCH,300.45,0.20206423
DRV00028_B004,2025-03,RULE_202503_08_V2,B004,BRANCH,81.77,0.05499001
DRV00028_B005,2025-03,RULE_202503_08_V2,B005,BRANCH,127.99,0.08607642
DRV00028_B006,2025-03,RULE_202503_08_V2,B006,BRANCH,40.9,0.02750635
DRV00028_B007,2025-03,RULE_202503_08_V2,B007,BRANCH,74.89,0.05036472
DRV00028_B008,2025-03,RULE_202503_08_V2,B008,BRANCH,260.96,0.17550536
DRV00029_B001,2025-03,RULE_202503_09_V2,B001,BRANCH,111.77,0.0964751
DRV00029_B002,2025-03,RULE_202503_09_V2,B002,BRANCH,79.13,0.06830599
DRV00029_B003,2025-03,RULE_202503_09_V2,B003,BRANCH,234.98,0.2028277
DRV00029_B004,2025-03,RULE_202503_09_V2,B004,BRANCH,141.78,0.12238086
DRV00029_B005,2025-03,RULE_202503_09_V2,B005,BRANCH,193.02,0.16660983
DRV00029_B006,2025-03,RULE_202503_09_V2,B006,BRANCH,103.57,0.08939485
DRV00029_B007,2025-03,RULE_202503_09_V2,B007,BRANCH,107.59,0.09286564
DRV00029_B008,2025-03,RULE_202503_09_V2,B008,BRANCH,186.68,0.16114003
DRV00030_B001,2025-03,RULE_202503_10_V2,B001,BRANCH,187.4,0.12952055
DRV00030_B002,2025-03,RULE_202503_10_V2,B002,BRANCH,61.74,0.04267156
DRV00030_B003,2025-03,RULE_202503_10_V2,B003,BRANCH,147.39,0.10186726
DRV00030_B004,2025-03,RULE_202503_10_V2,B004,BRANCH,148.75,0.10281168
DRV00030_B005,2025-03,RULE_202503_10_V2,B005,BRANCH,218.54,0.15104832
DRV00030_B006,2025-03,RULE_202503_10_V2,B006,BRANCH,273.22,0.18883592
DRV00030_B007,2025-03,RULE_202503_10_V2,B007,BRANCH,227.52,0.15724972
DRV00030_B008,2025-03,RULE_202503_10_V2,B008,BRANCH,182.29,0.12599497
DRV00031_B001,2025-04,RULE_202504_01_V2,B001,BRANCH,280.83,0.14247781
DRV00031_B002,2025-04,RULE_202504_01_V2,B002,BRANCH,558.55,0.2833831
DRV00031_B003,2025-04,RULE_202504_01_V2,B003,BRANCH,188.75,0.09576395
DRV00031_B004,2025-04,RULE_202504_01_V2,B004,BRANCH,220.17,0.11170294
DRV00031_B005,2025-04,RULE_202504_01_V2,B005,BRANCH,80.91,0.04105166
DRV00031_B006,2025-04,RULE_202504_01_V2,B006,BRANCH,194.17,0.09851176
DRV00031_B007,2025-04,RULE_202504_01_V2,B007,BRANCH,264.83,0.13435996
DRV00031_B008,2025-04,RULE_202504_01_V2,B008,BRANCH,182.81,0.09274882
DRV00032_B001,2025-04,RULE_202504_02_V2,B001,BRANCH,247.28,0.19205415
DRV00032_B002,2025-04,RULE_202504_02_V2,B002,BRANCH,42.47,0.03298112
DRV00032_B003,2025-04,RULE_202504_02_V2,B003,BRANCH,127.19,0.09878364
DRV00032_B004,2025-04,RULE_202504_02_V2,B004,BRANCH,287.83,0.22354737
DRV00032_B005,2025-04,RULE_202504_02_V2,B005,BRANCH,182.46,0.1417115
DRV00032_B006,2025-04,RULE_202504_02_V2,B006,BRANCH,66.06,0.05130438
DRV00032_B007,2025-04,RULE_202504_02_V2,B007,BRANCH,111.06,0.08625244
DRV00032_B008,2025-04,RULE_202504_02_V2,B008,BRANCH,223.22,0.1733654
DRV00033_B001,2025-04,RULE_202504_03_V2,B001,BRANCH,186.88,0.11416703
DRV00033_B002,2025-04,RULE_202504_03_V2,B002,BRANCH,318.22,0.19439911
DRV00033_B003,2025-04,RULE_202504_03_V2,B003,BRANCH,129.5,0.07911225
DRV00033_B004,2025-04,RULE_202504_03_V2,B004,BRANCH,175.98,0.10750977
DRV00033_B005,2025-04,RULE_202504_03_V2,B005,BRANCH,127.52,0.07790074
DRV00033_B006,2025-04,RULE_202504_03_V2,B006,BRANCH,243.76,0.14891458
DRV00033_B007,2025-04,RULE_202504_03_V2,B007,BRANCH,196.49,0.12003757
DRV00033_B008,2025-04,RULE_202504_03_V2,B008,BRANCH,258.57,0.15795895
DRV00034_B001,2025-04,RULE_202504_04_V2,B001,BRANCH,101.77,0.0652506
DRV00034_B002,2025-04,RULE_202504_04_V2,B002,BRANCH,243.02,0.15581365
DRV00034_B003,2025-04,RULE_202504_04_V2,B003,BRANCH,199.5,0.12791043
DRV00034_B004,2025-04,RULE_202504_04_V2,B004,BRANCH,255.1,0.16355974
DRV00034_B005,2025-04,RULE_202504_04_V2,B005,BRANCH,190.09,0.12187843
DRV00034_B006,2025-04,RULE_202504_04_V2,B006,BRANCH,165.37,0.10603207
DRV00034_B007,2025-04,RULE_202504_04_V2,B007,BRANCH,281.64,0.18057942
DRV00034_B008,2025-04,RULE_202504_04_V2,B008,BRANCH,123.18,0.07897564
DRV00035_B001,2025-04,RULE_202504_05_V2,B001,BRANCH,48.02,0.0465318
DRV00035_B002,2025-04,RULE_202504_05_V2,B002,BRANCH,203.5,0.19717709
DRV00035_B003,2025-04,RULE_202504_05_V2,B003,BRANCH,76.23,0.07385975
DRV00035_B004,2025-04,RULE_202504_05_V2,B004,BRANCH,50.12,0.04855899
DRV00035_B005,2025-04,RULE_202504_05_V2,B005,BRANCH,63.79,0.06180464
DRV00035_B006,2025-04,RULE_202504_05_V2,B006,BRANCH,126.89,0.12295318
DRV00035_B007,2025-04,RULE_202504_05_V2,B007,BRANCH,203.01,0.1967052
DRV00035_B008,2025-04,RULE_202504_05_V2,B008,BRANCH,260.5,0.25240935
DRV00036_B001,2025-04,RULE_202504_06_V2,B001,BRANCH,210.17,0.11245854
DRV00036_B002,2025-04,RULE_202504_06_V2,B002,BRANCH,679.05,0.36334839
DRV00036_B003,2025-04,RULE_202504_06_V2,B003,BRANCH,287.39,0.15377784
DRV00036_B004,2025-04,RULE_202504_06_V2,B004,BRANCH,61.75,0.03304235
DRV00036_B005,2025-04,RULE_202504_06_V2,B005,BRANCH,267.81,0.14329939
DRV00036_B006,2025-04,RULE_202504_06_V2,B006,BRANCH,189.56,0.10143162
DRV00036_B007,2025-04,RULE_202504_06_V2,B007,BRANCH,39.59,0.02118424
DRV00036_B008,2025-04,RULE_202504_06_V2,B008,BRANCH,133.54,0.07145762
DRV00037_B001,2025-04,RULE_202504_07_V2,B001,BRANCH,248.04,0.19880579
DRV00037_B002,2025-04,RULE_202504_07_V2,B002,BRANCH,160.92,0.12898139
DRV00037_B003,2025-04,RULE_202504_07_V2,B003,BRANCH,222.85,0.17862019
DRV00037_B004,2025-04,RULE_202504_07_V2,B004,BRANCH,239.27,0.19178237
DRV00037_B005,2025-04,RULE_202504_07_V2,B005,BRANCH,92.53,0.0741673
DRV00037_B006,2025-04,RULE_202504_07_V2,B006,BRANCH,63.14,0.05060718
DRV00037_B007,2025-04,RULE_202504_07_V2,B007,BRANCH,53.71,0.04305031
DRV00037_B008,2025-04,RULE_202504_07_V2,B008,BRANCH,167.17,0.13398547
DRV00038_B001,2025-04,RULE_202504_08_V2,B001,BRANCH,189.33,0.12052792
DRV00038_B002,2025-04,RULE_202504_08_V2,B002,BRANCH,361.02,0.22982727
DRV00038_B003,2025-04,RULE_202504_08_V2,B003,BRANCH,382.37,0.24341847
DRV00038_B004,2025-04,RULE_202504_08_V2,B004,BRANCH,97.31,0.06194577
DRV00038_B005,2025-04,RULE_202504_08_V2,B005,BRANCH,110.6,0.0704112
DRV00038_B006,2025-04,RULE_202504_08_V2,B006,BRANCH,119.88,0.07631735
DRV00038_B007,2025-04,RULE_202504_08_V2,B007,BRANCH,234.29,0.14914924
DRV00038_B008,2025-04,RULE_202504_08_V2,B008,BRANCH,76.03,0.04840277
DRV00039_B001,2025-04,RULE_202504_09_V2,B001,BRANCH,228.79,0.15569939
DRV00039_B002,2025-04,RULE_202504_09_V2,B002,BRANCH,217.69,0.14814833
DRV00039_B003,2025-04,RULE_202504_09_V2,B003,BRANCH,222.24,0.1512425
DRV00039_B004,2025-04,RULE_202504_09_V2,B004,BRANCH,191.44,0.13028618
DRV00039_B005,2025-04,RULE_202504_09_V2,B005,BRANCH,223.97,0.15242144
