trade_id,trade_date,settle_date,customer_id,branch_id,product_type,market,buy_sell,trade_amount,commission_rate,calculated_commission,clearing_batch_id
T0000020,2025-01-02,2025-01-23,C00090,B005,STOCK,SSE,BUY,8756226446.77,0.00043416,3801645.73,COMM_202501_B005
T0000021,2025-01-02,2025-01-09,C00132,B006,ETF,SZSE,BUY,5020644498.9,0.00045036,2261083.53,COMM_202501_B006
T0000022,2025-01-20,2025-01-26,C00154,B006,STOCK,SZSE,BUY,29674935383.78,0.00039005,11574831.49,COMM_202501_B006
T0000023,2025-01-23,2025-01-25,C00199,B006,FUND,SSE,SELL,28019814214.2,0.00023809,6671279.14,COMM_202501_B006
T0000024,2025-01-10,2025-01-02,C00132,B006,ETF,SZSE,BUY,2769438299.89,0.00037523,1039168.77,COMM_202501_B006
T0000025,2025-01-10,2025-01-15,C00282,B007,STOCK,SZSE,SELL,1566759074.26,0.00039928,625568.1,COMM_202501_B007
T0000026,2025-01-12,2025-01-04,C00092,B007,FUND,SZSE,BUY,39059388757.27,0.00034291,13393933.72,COMM_202501_B007
T0000027,2025-01-13,2025-01-24,C00164,B007,STOCK,SSE,BUY,70467450462.91,0.00023803,16773073.87,COMM_202501_B007
T0000028,2025-01-03,2025-01-06,C00261,B007,STOCK,SZSE,BUY,17279001598.4,0.00041417,7156397.62,COMM_202501_B007
T0000029,2025-01-01,2025-01-03,C00008,B008,STOCK,SZSE,BUY,26054638446.66,0.00033431,8710428.85,COMM_202501_B008
T0000030,2025-01-05,2025-01-11,C00299,B008,BOND,SSE,BUY,9799830675.19,0.00033534,3286321.98,COMM_202501_B008
T0000031,2025-01-15,2025-01-11,C00015,B008,ETF,SSE,BUY,19056543915.94,0.00042064,8016018.89,COMM_202501_B008
T0000032,2025-01-06,2025-01-03,C00030,B008,STOCK,SSE,SELL,9627465408.33,0.00042835,4123886.17,COMM_202501_B008
T0000033,2025-02-12,2025-02-26,C00016,B001,STOCK,BSE,SELL,20262031907.09,0.0002511,5087851.26,COMM_202502_B001
T0000034,2025-02-12,2025-02-18,C00212,B001,FUND,SSE,SELL,51524806330.14,0.00041531,21398734.88,COMM_202502_B001
T0000035,2025-02-04,2025-02-16,C00013,B001,STOCK,SZSE,SELL,4098649273.18,0.00041676,1708151.46,COMM_202502_B001
T0000036,2025-02-11,2025-02-15,C00016,B001,FUND,SZSE,SELL,39744840880.75,0.00025484,10128517.55,COMM_202502_B001
T0000037,2025-02-06,2025-02-19,C00208,B002,STOCK,SZSE,BUY,21403311140.67,0.00041785,8943435.03,COMM_202502_B002
T0000038,2025-02-13,2025-02-22,C00059,B002,FUND,SSE,SELL,40914754210.81,0.00037364,15287578.3,COMM_202502_B002
T0000039,2025-02-17,2025-02-04,C00264,B002,STOCK,SZSE,BUY,9488953304.13,0.00041953,3980946.27,COMM_202502_B002
T0000040,2025-02-22,2025-02-15,C00180,B002,FUND,SSE,BUY,47932088323.99,0.00041552,19916624.09,COMM_202502_B002
T0000041,2025-02-16,2025-02-07,C00221,B003,FUND,SZSE,SELL,46678944003.71,0.00043434,20274306.71,COMM_202502_B003
T0000042,2025-02-01,2025-02-08,C00150,B003,STOCK,SSE,SELL,1524670261.08,0.00021524,328162.43,COMM_202502_B003
T0000043,2025-02-10,2025-02-12,C00023,B003,STOCK,SSE,SELL,16150979647.05,0.0003941,6365138.29,COMM_202502_B003
T0000044,2025-02-23,2025-02-02,C00139,B003,STOCK,SZSE,SELL,12423610455.86,0.00035526,4413655.7,COMM_202502_B003
T0000045,2025-02-07,2025-02-22,C00089,B004,STOCK,SZSE,BUY,26417306477.55,0.00029995,7923860.1,COMM_202502_B004
T0000046,2025-02-14,2025-02-20,C00022,B004,STOCK,SZSE,BUY,22349686400.66,0.0004407,9849574.51,COMM_202502_B004
T0000047,2025-02-20,2025-02-13,C00068,B004,STOCK,SZSE,SELL,18873314520.13,0.00044007,8305648.63,COMM_202502_B004
T0000048,2025-02-19,2025-02-06,C00104,B004,ETF,SSE,BUY,711219498.12,0.00044216,314471.54,COMM_202502_B004
T0000049,2025-02-06,2025-02-22,C00200,B005,FUND,SSE,SELL,4438851998.51,0.00034913,1549753.72,COMM_202502_B005
T0000050,2025-02-12,2025-02-26,C00319,B005,BOND,SZSE,SELL,26519663787.3,0.00044395,11773421.15,COMM_202502_B005
T0000051,2025-02-10,2025-02-12,C00305,B005,STOCK,SSE,BUY,19087250558.83,0.0003974,7585320.28,COMM_202502_B005
T0000052,2025-02-04,2025-02-16,C00186,B005,ETF,SSE,SELL,1389563382.14,0.00039943,555036.68,COMM_202502_B005
T0000053,2025-02-15,2025-02-05,C00289,B006,STOCK,SSE,BUY,25235537017.72,0.00042257,10663741.31,COMM_202502_B006
T0000054,2025-02-22,2025-02-02,C00137,B006,FUND,SSE,SELL,11475944572.32,0.00042029,4823279.98,COMM_202502_B006
T0000055,2025-02-03,2025-02-16,C00136,B006,ETF,SSE,BUY,4546541750.64,0.00032184,1463279.58,COMM_202502_B006
T0000056,2025-02-02,2025-02-26,C00019,B006,FUND,SSE,SELL,8952508832.52,0.00025544,2286813.97,COMM_202502_B006
T0000057,2025-02-17,2025-02-24,C00111,B007,STOCK,SSE,SELL,6450687706.7,0.00038122,2459099.55,COMM_202502_B007
T0000058,2025-02-09,2025-02-24,C00062,B007,STOCK,SZSE,SELL,8196143169.83,0.00044565,3652582.58,COMM_202502_B007
T0000059,2025-02-22,2025-02-18,C00314,B007,FUND,SZSE,BUY,63296605163.46,0.00043123,27295464.93,COMM_202502_B007
T0000060,2025-02-13,2025-02-21,C00282,B007,STOCK,SZSE,BUY,818129986.57,0.00043319,354407.95,COMM_202502_B007
T0000061,2025-02-13,2025-02-13,C00009,B008,STOCK,SSE,SELL,32583413460.81,0.00038562,12564741.28,COMM_202502_B008
T0000062,2025-02-20,2025-02-24,C00172,B008,STOCK,SSE,SELL,37926299.04,0.00037051,14051.94,COMM_202502_B008
T0000063,2025-02-17,2025-02-07,C00155,B008,STOCK,SZSE,BUY,16948657271.82,0.00044981,7623743.09,COMM_202502_B008
T0000064,2025-02-15,2025-02-18,C00074,B008,FUND,SZSE,BUY,3518397404.81,0.00037545,1320977.94,COMM_202502_B008
T0000065,2025-03-16,2025-03-25,C00146,B001,FUND,SZSE,SELL,56182165230.96,0.00042924,24115669.36,COMM_202503_B001
T0000066,2025-03-21,2025-03-17,C00178,B001,ETF,SSE,SELL,13782430793.59,0.00041141,5670166.74,COMM_202503_B001
T0000067,2025-03-10,2025-03-18,C00214,B001,FUND,SSE,SELL,44666958701.99,0.00039626,17699804.04,COMM_202503_B001
T0000068,2025-03-02,2025-03-11,C00183,B001,STOCK,SSE,SELL,1755257963.32,0.00045254,794325.76,COMM_202503_B001
T0000069,2025-03-05,2025-03-14,C00026,B002,ETF,SSE,BUY,41209478756.16,0.00044543,18355864.07,COMM_202503_B002
T0000070,2025-03-23,2025-03-03,C00201,B002,STOCK,BSE,SELL,5202479874.98,0.00040659,2115269.69,COMM_202503_B002
T0000071,2025-03-17,2025-03-24,C00267,B002,FUND,SSE,SELL,34668379855.24,0.00024,8320369.98,COMM_202503_B002
T0000072,2025-03-06,2025-03-22,C00096,B002,ETF,SZSE,SELL,99956632018.06,0.00031823,31809326.43,COMM_202503_B002
T0000073,2025-03-16,2025-03-14,C00219,B003,BOND,SSE,BUY,84970762826.27,0.00041886,35591128.52,COMM_202503_B003
T0000074,2025-03-10,2025-03-16,C00081,B003,STOCK,SSE,SELL,3086610810.14,0.00045058,1390777.11,COMM_202503_B003
T0000075,2025-03-04,2025-03-07,C00139,B003,FUND,SZSE,BUY,4878020018.56,0.00033942,1655705.04,COMM_202503_B003
T0000076,2025-03-21,2025-03-10,C00275,B003,FUND,SSE,BUY,1986857289.13,0.00043486,864006.3,COMM_202503_B003
T0000077,2025-03-16,2025-03-11,C00236,B004,ETF,SZSE,BUY,21645438286.26,0.00045284,9801932.28,COMM_202503_B004
T0000078,2025-03-07,2025-03-16,C00185,B004,STOCK,SSE,BUY,23757293415.21,0.00044274,10518220.54,COMM_202503_B004
T0000079,2025-03-10,2025-03-13,C00242,B004,FUND,SZSE,BUY,6600740146.01,0.00039464,2604911.41,COMM_202503_B004
T0000080,2025-03-12,2025-03-11,C00127,B004,FUND,SZSE,SELL,46900190084.06,0.00021987,10311741.83,COMM_202503_B004
T0000081,2025-03-06,2025-03-07,C00138,B005,BOND,SZSE,BUY,360103442.52,0.00041899,150881.16,COMM_202503_B005
T0000082,2025-03-22,2025-03-17,C00108,B005,FUND,SZSE,BUY,7226906601.56,0.0003436,2483183.14,COMM_202503_B005
T0000083,2025-03-14,2025-03-05,C00038,B005,FUND,SSE,BUY,4785088623.21,0.00037673,1802701.11,COMM_202503_B005
T0000084,2025-03-11,2025-03-19,C00200,B005,STOCK,SZSE,BUY,68537081740.2,0.00032847,22512706.79,COMM_202503_B005
T0000085,2025-03-08,2025-03-24,C00209,B006,STOCK,SSE,BUY,7039411818.65,0.00025545,1798243.95,COMM_202503_B006
T0000086,2025-03-18,2025-03-10,C00253,B006,BOND,SZSE,BUY,36487226392.22,0.00038396,14009695.95,COMM_202503_B006
T0000087,2025-03-15,2025-03-07,C00260,B006,STOCK,SSE,BUY,11266753354.45,0.00042742,4815635.08,COMM_202503_B006
T0000088,2025-03-20,2025-03-14,C00137,B006,STOCK,SZSE,SELL,9338627938.0,0.00039213,3662000.3,COMM_202503_B006
T0000089,2025-03-07,2025-03-04,C00111,B007,STOCK,SZSE,SELL,103199590066.47,0.00037104,38290990.35,COMM_202503_B007
T0000090,2025-03-02,2025-03-12,C00241,B007,STOCK,SSE,BUY,115534876.19,0.00039531,45672.0,COMM_202503_B007
T0000091,2025-03-03,2025-03-11,C00181,B007,FUND,SSE,SELL,35506602.02,0.0002246,7974.79,COMM_202503_B007
T0000092,2025-03-21,2025-03-21,C00286,B007,ETF,SSE,SELL,9117785880.94,0.00045232,4124144.73,COMM_202503_B007
T0000093,2025-03-16,2025-03-22,C00230,B008,STOCK,SSE,SELL,56327768413.15,0.0003905,21996166.96,COMM_202503_B008
T0000094,2025-03-09,2025-03-18,C00190,B008,ETF,SSE,SELL,11561576806.25,0.00038539,4455690.25,COMM_202503_B008
T0000095,2025-03-03,2025-03-13,C00009,B008,ETF,SZSE,SELL,1089657401.81,0.00039325,428510.38,COMM_202503_B008
T0000096,2025-03-07,2025-03-20,C00299,B008,STOCK,SZSE,BUY,1238576451.34,0.00032382,401072.58,COMM_202503_B008
T0000097,2025-04-11,2025-04-05,C00239,B001,ETF,SSE,BUY,38734496708.39,0.00045208,17511184.53,COMM_202504_B001
T0000098,2025-04-20,2025-04-25,C00245,B001,STOCK,SZSE,SELL,50302008689.34,0.00042673,21465495.47,COMM_202504_B001
T0000099,2025-04-14,2025-04-02,C00312,B001,STOCK,BSE,BUY,13397139739.89,0.00033912,4543225.34,COMM_202504_B001
T0000100,2025-04-22,2025-04-21,C00294,B001,STOCK,SZSE,BUY,6462804850.97,0.00038052,2459197.01,COMM_202504_B001
T0000101,2025-04-06,2025-04-05,C00320,B002,STOCK,SZSE,SELL,14887781859.2,0.00036472,5429838.02,COMM_202504_B002
T0000102,2025-04-12,2025-04-11,C00026,B002,STOCK,SZSE,BUY,16905775345.53,0.00044867,7585067.35,COMM_202504_B002
T0000103,2025-04-18,2025-04-24,C00075,B002,FUND,SZSE,SELL,76302801907.69,0.0003842,29315443.25,COMM_202504_B002
T0000104,2025-04-14,2025-04-16,C00161,B002,ETF,SSE,BUY,65029864432.39,0.0002356,15321344.38,COMM_202504_B002
T0000105,2025-04-10,2025-04-16,C00018,B003,ETF,SZSE,SELL,3398001370.07,0.0002212,751649.42,COMM_202504_B003
T0000106,2025-04-23,2025-04-06,C00150,B003,BOND,SSE,SELL,43861120546.62,0.00023164,10159780.15,COMM_202504_B003
T0000107,2025-04-05,2025-04-21,C00081,B003,BOND,SZSE,BUY,49417191075.15,0.00039508,19523687.61,COMM_202504_B003
T0000108,2025-04-22,2025-04-02,C00001,B003,ETF,SZSE,SELL,16202897658.24,0.00042222,6841250.07,COMM_202504_B003
T0000109,2025-04-01,2025-04-14,C00049,B004,STOCK,SSE,SELL,43478899706.42,0.00038082,16557593.75,COMM_202504_B004
T0000110,2025-04-16,2025-04-16,C00192,B004,ETF,SZSE,SELL,18156187679.9,0.00033181,6024322.32,COMM_202504_B004
T0000111,2025-04-13,2025-04-03,C00303,B004,STOCK,SZSE,SELL,10515759957.72,0.00024955,2624171.71,COMM_202504_B004
T0000112,2025-04-11,2025-04-18,C00106,B004,ETF,SSE,SELL,16153603862.63,0.00038361,6196686.47,COMM_202504_B004
T0000113,2025-04-16,2025-04-06,C00223,B005,FUND,SZSE,SELL,2841899360.9,0.0004111,1168311.3,COMM_202504_B005
T0000114,2025-04-21,2025-04-03,C00203,B005,STOCK,SZSE,BUY,20689365147.53,0.00040355,8349121.09,COMM_202504_B005
T0000115,2025-04-21,2025-04-11,C00123,B005,STOCK,SZSE,SELL,15498199145.43,0.00041644,6454038.64,COMM_202504_B005
T0000116,2025-04-21,2025-04-25,C00206,B005,BOND,SSE,SELL,24914092571.02,0.00038815,9670285.66,COMM_202504_B005
T0000117,2025-04-03,2025-04-11,C00065,B006,STOCK,SZSE,SELL,14977215985.19,0.00036975,5537773.66,COMM_202504_B006
T0000118,2025-04-20,2025-04-05,C00132,B006,STOCK,SSE,SELL,25672000156.59,0.0003716,9539602.63,COMM_202504_B006
T0000119,2025-04-14,2025-04-25,C00063,B006,FUND,SSE,BUY,2264275807.8,0.0003063,693544.81,COMM_202504_B006
T0000120,2025-04-07,2025-04-26,C00010,B006,BOND,SZSE,SELL,16127570647.64,0.00044988,7255429.89,COMM_202504_B006
T0000121,2025-04-14,2025-04-26,C00092,B007,STOCK,SZSE,SELL,27048100551.86,0.00030378,8216589.7,COMM_202504_B007
T0000122,2025-04-05,2025-04-20,C00007,B007,STOCK,SSE,BUY,14320030916.74,0.00023064,3302837.02,COMM_202504_B007
T0000123,2025-04-16,2025-04-23,C00164,B007,ETF,SZSE,SELL,7884937615.65,0.00021293,1678952.96,COMM_202504_B007
T0000124,2025-04-22,2025-04-09,C00266,B007,STOCK,SZSE,BUY,106844129565.75,0.00025371,27107709.21,COMM_202504_B007
T0000125,2025-04-05,2025-04-20,C00268,B008,BOND,SZSE,BUY,3613561487.03,0.00041579,1502472.68,COMM_202504_B008
T0000126,2025-04-21,2025-04-05,C00311,B008,STOCK,SSE,SELL,9691665810.4,0.00038612,3742104.23,COMM_202504_B008
T0000127,2025-04-13,2025-04-15,C00304,B008,STOCK,SZSE,BUY,79742190174.89,0.0002518,20078771.66,COMM_202504_B008
T0000128,2025-04-13,2025-04-20,C00205,B008,ETF,SZSE,SELL,953381983.07,0.00042338,403638.96,COMM_202504_B008
T0000129,2025-05-09,2025-05-05,C00183,B001,STOCK,SSE,SELL,54141909186.65,0.00043115,23343030.26,COMM_202505_B001
T0000130,2025-05-23,2025-05-10,C00152,B001,STOCK,SZSE,BUY,27307684537.77,0.00021178,5783125.27,COMM_202505_B001
T0000131,2025-05-23,2025-05-16,C00252,B001,BOND,SZSE,BUY,49760018034.33,0.00038402,19108776.49,COMM_202505_B001
T0000132,2025-05-19,2025-05-17,C00256,B001,ETF,SZSE,SELL,3343963783.76,0.00043038,1439166.17,COMM_202505_B001
T0000133,2025-05-12,2025-05-19,C00078,B002,STOCK,SZSE,SELL,5443415076.76,0.00034325,1868467.59,COMM_202505_B002
T0000134,2025-05-02,2025-05-09,C00021,B002,ETF,SZSE,BUY,16189822019.82,0.00040396,6540024.81,COMM_202505_B002
T0000135,2025-05-12,2025-05-11,C00129,B002,STOCK,BSE,SELL,70964322827.01,0.00040588,28802916.87,COMM_202505_B002
T0000136,2025-05-13,2025-05-03,C00031,B002,STOCK,BSE,BUY,56003056605.22,0.00044913,25152393.07,COMM_202505_B002
T0000137,2025-05-10,2025-05-19,C00103,B003,STOCK,SSE,SELL,32914595484.51,0.00041176,13553077.55,COMM_202505_B003
T0000138,2025-05-01,2025-05-06,C00102,B003,FUND,SZSE,BUY,4406687482.8,0.00044652,1967653.41,COMM_202505_B003
T0000139,2025-05-15,2025-05-03,C00071,B003,STOCK,SZSE,BUY,39005822034.84,0.00039417,15374733.87,COMM_202505_B003
T0000140,2025-05-18,2025-05-14,C00150,B003,FUND,SZSE,BUY,41908681310.25,0.00023352,9786653.75,COMM_202505_B003
T0000141,2025-05-01,2025-05-26,C00236,B004,ETF,SZSE,SELL,2171790749.94,0.00040556,880797.99,COMM_202505_B004
T0000142,2025-05-11,2025-05-02,C00115,B004,STOCK,SSE,BUY,21413780758.7,0.00040599,8693878.82,COMM_202505_B004
T0000143,2025-05-18,2025-05-13,C00236,B004,STOCK,SZSE,SELL,32669520185.31,0.00042854,14000034.14,COMM_202505_B004
T0000144,2025-05-04,2025-05-20,C00227,B004,ETF,SSE,SELL,25141462810.37,0.00042958,10800200.99,COMM_202505_B004
T0000145,2025-05-23,2025-05-22,C00038,B005,BOND,SSE,BUY,44065433271.11,0.00045313,19967265.6,COMM_202505_B005
T0000146,2025-05-22,2025-05-13,C00107,B005,STOCK,SZSE,BUY,7784827262.88,0.00038342,2984843.12,COMM_202505_B005
T0000147,2025-05-10,2025-05-07,C00223,B005,STOCK,SZSE,SELL,2501365332.76,0.00043182,1080132.76,COMM_202505_B005
T0000148,2025-05-16,2025-05-14,C00203,B005,STOCK,SSE,BUY,10133233209.35,0.00043722,4430469.02,COMM_202505_B005
T0000149,2025-05-14,2025-05-07,C00121,B006,STOCK,SZSE,SELL,168492165.57,0.00024766,41728.65,COMM_202505_B006
T0000150,2025-05-14,2025-05-11,C00136,B006,STOCK,SZSE,BUY,32831612424.02,0.00031071,10201223.75,COMM_202505_B006
T0000151,2025-05-15,2025-05-12,C00209,B006,STOCK,SZSE,BUY,6562894025.26,0.00022415,1471049.9,COMM_202505_B006
T0000152,2025-05-01,2025-05-08,C00040,B006,STOCK,SSE,BUY,61671068653.11,0.00021498,13258074.03,COMM_202505_B006
T0000153,2025-05-19,2025-05-15,C00315,B007,STOCK,SZSE,SELL,33022443632.68,0.00038636,12758700.31,COMM_202505_B007
T0000154,2025-05-16,2025-05-15,C00012,B007,STOCK,SZSE,BUY,8151192130.0,0.00044596,3635099.39,COMM_202505_B007
T0000155,2025-05-03,2025-05-07,C00007,B007,STOCK,SSE,BUY,53239575506.2,0.00023286,12397102.35,COMM_202505_B007
T0000156,2025-05-15,2025-05-12,C00032,B007,STOCK,SSE,BUY,67056933730.24,0.00022333,14975672.33,COMM_202505_B007
T0000157,2025-05-05,2025-05-07,C00179,B008,ETF,SZSE,BUY,41631549090.52,0.00032114,13369383.04,COMM_202505_B008
T0000158,2025-05-09,2025-05-23,C00124,B008,STOCK,SZSE,BUY,5576415619.92,0.00037988,2118382.33,COMM_202505_B008
T0000159,2025-05-09,2025-05-09,C00169,B008,ETF,SSE,BUY,41151745787.8,0.00025083,10322028.55,COMM_202505_B008
T0000160,2025-05-17,2025-05-14,C00156,B008,STOCK,SZSE,SELL,5686280593.34,0.00041685,2370354.2,COMM_202505_B008
T0000161,2025-06-16,2025-06-02,C00028,B001,STOCK,SSE,BUY,77388690004.01,0.00044956,34790496.12,COMM_202506_B001
T0000162,2025-06-11,2025-06-26,C00125,B001,FUND,SZSE,BUY,3064424327.91,0.00033415,1023986.23,COMM_202506_B001
T0000163,2025-06-18,2025-06-19,C00146,B001,STOCK,SSE,SELL,26362865505.88,0.00041134,10844055.65,COMM_202506_B001
T0000164,2025-06-15,2025-06-03,C00082,B001,ETF,SZSE,SELL,4200103911.0,0.00030462,1279434.21,COMM_202506_B001
T0000165,2025-06-13,2025-06-19,C00036,B002,STOCK,SZSE,BUY,10062493365.69,0.00043509,4378133.35,COMM_202506_B002
T0000166,2025-06-04,2025-06-25,C00036,B002,STOCK,SZSE,BUY,6095918329.94,0.000408,2487147.74,COMM_202506_B002
T0000167,2025-06-09,2025-06-14,C00180,B002,STOCK,SSE,BUY,112691246747.14,0.00042559,47960490.38,COMM_202506_B002
T0000168,2025-06-08,2025-06-24,C00216,B002,STOCK,SZSE,BUY,11197527867.57,0.00040856,4574842.48,COMM_202506_B002
T0000169,2025-06-18,2025-06-03,C00001,B003,STOCK,SZSE,BUY,10701555806.74,0.00045276,4845216.87,COMM_202506_B003
T0000170,2025-06-22,2025-06-05,C00301,B003,STOCK,SZSE,BUY,4162205455.03,0.00041048,1708486.59,COMM_202506_B003
T0000171,2025-06-02,2025-06-06,C00197,B003,STOCK,SSE,SELL,3251801296.19,0.00033751,1097520.64,COMM_202506_B003
T0000172,2025-06-12,2025-06-03,C00204,B003,ETF,SZSE,BUY,95101500838.84,0.00032458,30868113.61,COMM_202506_B003
T0000173,2025-06-07,2025-06-03,C00053,B004,FUND,SZSE,SELL,36343661584.94,0.00039694,14426387.43,COMM_202506_B004
T0000174,2025-06-21,2025-06-17,C00117,B004,STOCK,SSE,SELL,2427821471.52,0.00040363,979937.45,COMM_202506_B004
T0000175,2025-06-09,2025-06-05,C00185,B004,ETF,SZSE,BUY,37642329853.01,0.00041058,15455227.51,COMM_202506_B004
T0000176,2025-06-13,2025-06-20,C00143,B004,STOCK,SSE,BUY,5089589669.77,0.00038961,1982961.93,COMM_202506_B004
T0000177,2025-06-10,2025-06-05,C00319,B005,BOND,SZSE,BUY,28843180760.31,0.00042433,12238959.13,COMM_202506_B005
T0000178,2025-06-14,2025-06-16,C00202,B005,STOCK,SSE,SELL,11529144147.9,0.00042826,4937469.29,COMM_202506_B005
T0000179,2025-06-09,2025-06-05,C00223,B005,STOCK,SZSE,BUY,17134147331.67,0.00042514,7284398.3,COMM_202506_B005
T0000180,2025-06-02,2025-06-15,C00107,B005,STOCK,SSE,BUY,5697926955.35,0.0003879,2210204.0,COMM_202506_B005
T0000181,2025-06-13,2025-06-14,C00131,B006,STOCK,SSE,SELL,8304510553.12,0.00044128,3664603.66,COMM_202506_B006
T0000182,2025-06-05,2025-06-16,C00137,B006,ETF,SSE,SELL,14963748356.28,0.00040682,6087623.32,COMM_202506_B006
T0000183,2025-06-06,2025-06-26,C00289,B006,FUND,SSE,BUY,23741048504.54,0.00037686,8947148.32,COMM_202506_B006
T0000184,2025-06-03,2025-06-03,C00132,B006,FUND,SSE,SELL,12541381976.36,0.00041814,5244019.42,COMM_202506_B006
T0000185,2025-06-12,2025-06-05,C00181,B007,FUND,SZSE,SELL,3122756587.95,0.00022996,718096.53,COMM_202506_B007
T0000186,2025-06-14,2025-06-21,C00288,B007,ETF,SSE,BUY,38852877145.05,0.00043507,16903914.04,COMM_202506_B007
T0000187,2025-06-18,2025-06-18,C00060,B007,STOCK,SSE,SELL,98882823346.99,0.00023514,23251332.64,COMM_202506_B007
T0000188,2025-06-04,2025-06-19,C00012,B007,STOCK,SZSE,BUY,2528828535.39,0.00042961,1086418.96,COMM_202506_B007
T0000189,2025-06-15,2025-06-21,C00169,B008,FUND,SZSE,SELL,5679758258.85,0.00022461,1275743.35,COMM_202506_B008
T0000190,2025-06-08,2025-06-18,C00155,B008,STOCK,SZSE,SELL,2852088842.13,0.00045306,1292170.49,COMM_202506_B008
T0000191,2025-06-02,2025-06-12,C00066,B008,FUND,SSE,BUY,15505634306.49,0.00030928,4795512.73,COMM_202506_B008
T0000192,2025-06-04,2025-06-17,C00311,B008,ETF,SZSE,BUY,44368519778.7,0.00043569,19330748.3,COMM_202506_B008
T0000193,2025-07-08,2025-07-13,C00167,B001,STOCK,SSE,BUY,1120771390.2,0.00044317,496694.86,COMM_202507_B001
T0000194,2025-07-02,2025-07-24,C00064,B001,STOCK,SZSE,SELL,68438889537.13,0.00043007,29433680.95,COMM_202507_B001
T0000195,2025-07-16,2025-07-25,C00163,B001,FUND,SSE,BUY,9408641847.5,0.00038704,3641503.66,COMM_202507_B001
T0000196,2025-07-15,2025-07-19,C00043,B001,STOCK,SSE,SELL,36114301448.82,0.00031427,11349664.81,COMM_202507_B001
T0000197,2025-07-06,2025-07-06,C00087,B002,BOND,SSE,BUY,41355861819.65,0.00030043,12424645.49,COMM_202507_B002
T0000198,2025-07-17,2025-07-02,C00105,B002,STOCK,SZSE,SELL,60945690187.98,0.00024702,15054700.28,COMM_202507_B002
T0000199,2025-07-08,2025-07-21,C00110,B002,STOCK,SSE,BUY,39126416712.75,0.00042909,16788624.27,COMM_202507_B002
T0000200,2025-07-14,2025-07-04,C00110,B002,STOCK,SZSE,SELL,31752058809.04,0.00037201,11812040.13,COMM_202507_B002
T0000201,2025-07-01,2025-07-26,C00102,B003,STOCK,SSE,SELL,8131189825.55,0.00042711,3472952.99,COMM_202507_B003
T0000202,2025-07-13,2025-07-25,C00221,B003,FUND,SSE,BUY,58655218059.81,0.00037465,21975156.53,COMM_202507_B003
T0000203,2025-07-12,2025-07-17,C00141,B003,STOCK,SZSE,BUY,7553182760.77,0.00040864,3086549.07,COMM_202507_B003
T0000204,2025-07-16,2025-07-26,C00221,B003,STOCK,SZSE,BUY,18047321184.8,0.00042216,7618830.84,COMM_202507_B003
