subledger_id,source_system,source_doc_id,period,biz_line_id,branch_id,customer_type,account_code,amount,dr_cr,accounting_standard,recognition_batch_id,status
SL0000033,WEALTH_SYSTEM,WL202501,2025-01,WEALTH,B005,HNW,6022,3001769.95,CR,CAS,WEALTH_202501,RECOGNIZED
SL0000034,COMMISSION_SYSTEM,CM0000033,2025-02,BROKERAGE,B001,INSTITUTION,6021,4717060.06,CR,CAS,COMM_202502_B001,RECOGNIZED
SL0000035,COMMISSION_SYSTEM,CM0000034,2025-02,BROKERAGE,B001,RETAIL,6021,19627389.69,CR,CAS,COMM_202502_B001,RECOGNIZED
SL0000036,COMMISSION_SYSTEM,CM0000035,2025-02,BROKERAGE,B001,RETAIL,6021,1568663.69,CR,CAS,COMM_202502_B001,RECOGNIZED
SL0000037,COMMISSION_SYSTEM,CM0000036,2025-02,BROKERAGE,B001,INSTITUTION,6021,9456747.07,CR,CAS,COMM_202502_B001,RECOGNIZED
SL0000038,COMMISSION_SYSTEM,CM0000037,2025-02,BROKERAGE,B002,RETAIL,6021,8156793.03,CR,CAS,COMM_202502_B002,RECOGNIZED
SL0000039,COMMISSION_SYSTEM,CM0000038,2025-02,BROKERAGE,B002,RETAIL,6021,13940036.19,CR,CAS,COMM_202502_B002,RECOGNIZED
SL0000040,COMMISSION_SYSTEM,CM0000039,2025-02,BROKERAGE,B002,RETAIL,6021,3697386.1,CR,CAS,COMM_202502_B002,RECOGNIZED
SL0000041,COMMISSION_SYSTEM,CM0000040,2025-02,BROKERAGE,B002,RETAIL,6021,18418110.31,CR,CAS,COMM_202502_B002,RECOGNIZED
SL0000042,COMMISSION_SYSTEM,CM0000041,2025-02,BROKERAGE,B003,RETAIL,6021,18481797.22,CR,CAS,COMM_202502_B003,RECOGNIZED
SL0000043,COMMISSION_SYSTEM,CM0000042,2025-02,BROKERAGE,B003,INSTITUTION,6021,302961.04,CR,CAS,COMM_202502_B003,RECOGNIZED
SL0000044,COMMISSION_SYSTEM,CM0000043,2025-02,BROKERAGE,B003,RETAIL,6021,5880928.51,CR,CAS,COMM_202502_B003,RECOGNIZED
SL0000045,COMMISSION_SYSTEM,CM0000044,2025-02,BROKERAGE,B003,HNW,6021,4072324.89,CR,CAS,COMM_202502_B003,RECOGNIZED
SL0000046,COMMISSION_SYSTEM,CM0000045,2025-02,BROKERAGE,B004,HNW,6021,7228438.45,CR,CAS,COMM_202502_B004,RECOGNIZED
SL0000047,COMMISSION_SYSTEM,CM0000046,2025-02,BROKERAGE,B004,RETAIL,6021,9146117.87,CR,CAS,COMM_202502_B004,RECOGNIZED
SL0000048,COMMISSION_SYSTEM,CM0000047,2025-02,BROKERAGE,B004,RETAIL,6021,7653071.34,CR,CAS,COMM_202502_B004,RECOGNIZED
SL0000049,COMMISSION_SYSTEM,CM0000048,2025-02,BROKERAGE,B004,RETAIL,6021,289151.44,CR,CAS,COMM_202502_B004,RECOGNIZED
SL0000050,COMMISSION_SYSTEM,CM0000049,2025-02,BROKERAGE,B005,HNW,6021,1443856.16,CR,CAS,COMM_202502_B005,RECOGNIZED
SL0000051,COMMISSION_SYSTEM,CM0000050,2025-02,BROKERAGE,B005,RETAIL,6021,10911187.08,CR,CAS,COMM_202502_B005,RECOGNIZED
SL0000052,COMMISSION_SYSTEM,CM0000051,2025-02,BROKERAGE,B005,RETAIL,6021,7033902.09,CR,CAS,COMM_202502_B005,RECOGNIZED
SL0000053,COMMISSION_SYSTEM,CM0000052,2025-02,BROKERAGE,B005,RETAIL,6021,506601.21,CR,CAS,COMM_202502_B005,RECOGNIZED
SL0000054,COMMISSION_SYSTEM,CM0000053,2025-02,BROKERAGE,B006,RETAIL,6021,9822698.88,CR,CAS,COMM_202502_B006,RECOGNIZED
SL0000055,COMMISSION_SYSTEM,CM0000054,2025-02,BROKERAGE,B006,RETAIL,6021,4407643.79,CR,CAS,COMM_202502_B006,RECOGNIZED
SL0000056,COMMISSION_SYSTEM,CM0000055,2025-02,BROKERAGE,B006,HNW,6021,1348137.66,CR,CAS,COMM_202502_B006,RECOGNIZED
SL0000057,COMMISSION_SYSTEM,CM0000056,2025-02,BROKERAGE,B006,INSTITUTION,6021,2106449.92,CR,CAS,COMM_202502_B006,RECOGNIZED
SL0000058,COMMISSION_SYSTEM,CM0000057,2025-02,BROKERAGE,B007,RETAIL,6021,2248825.91,CR,CAS,COMM_202502_B007,RECOGNIZED
SL0000059,COMMISSION_SYSTEM,CM0000058,2025-02,BROKERAGE,B007,RETAIL,6021,3378600.09,CR,CAS,COMM_202502_B007,RECOGNIZED
SL0000060,COMMISSION_SYSTEM,CM0000059,2025-02,BROKERAGE,B007,RETAIL,6021,24995507.27,CR,CAS,COMM_202502_B007,RECOGNIZED
SL0000061,COMMISSION_SYSTEM,CM0000060,2025-02,BROKERAGE,B007,RETAIL,6021,325694.67,CR,CAS,COMM_202502_B007,RECOGNIZED
SL0000062,COMMISSION_SYSTEM,CM0000061,2025-02,BROKERAGE,B008,RETAIL,6021,11599245.26,CR,CAS,COMM_202502_B008,RECOGNIZED
SL0000063,COMMISSION_SYSTEM,CM0000062,2025-02,BROKERAGE,B008,RETAIL,6021,12876.53,CR,CAS,COMM_202502_B008,RECOGNIZED
SL0000064,COMMISSION_SYSTEM,CM0000063,2025-02,BROKERAGE,B008,RETAIL,6021,7071187.86,CR,CAS,COMM_202502_B008,RECOGNIZED
SL0000065,COMMISSION_SYSTEM,CM0000064,2025-02,BROKERAGE,B008,RETAIL,6021,1212236.89,CR,CAS,COMM_202502_B008,RECOGNIZED
SL0000066,WEALTH_SYSTEM,WL202502,2025-02,WEALTH,B002,HNW,6022,2672808.86,CR,CAS,WEALTH_202502,RECOGNIZED
SL0000067,COMMISSION_SYSTEM,CM0000065,2025-03,BROKERAGE,B001,RETAIL,6021,22269015.45,CR,CAS,COMM_202503_B001,RECOGNIZED
SL0000068,COMMISSION_SYSTEM,CM0000066,2025-03,BROKERAGE,B001,RETAIL,6021,5258078.12,CR,CAS,COMM_202503_B001,RECOGNIZED
SL0000069,COMMISSION_SYSTEM,CM0000067,2025-03,BROKERAGE,B001,RETAIL,6021,16364428.63,CR,CAS,COMM_202503_B001,RECOGNIZED
SL0000070,COMMISSION_SYSTEM,CM0000068,2025-03,BROKERAGE,B001,RETAIL,6021,728917.21,CR,CAS,COMM_202503_B001,RECOGNIZED
SL0000071,COMMISSION_SYSTEM,CM0000069,2025-03,BROKERAGE,B002,RETAIL,6021,16763686.66,CR,CAS,COMM_202503_B002,RECOGNIZED
SL0000072,COMMISSION_SYSTEM,CM0000070,2025-03,BROKERAGE,B002,RETAIL,6021,1955301.74,CR,CAS,COMM_202503_B002,RECOGNIZED
SL0000073,COMMISSION_SYSTEM,CM0000071,2025-03,BROKERAGE,B002,INSTITUTION,6021,7662675.84,CR,CAS,COMM_202503_B002,RECOGNIZED
SL0000074,COMMISSION_SYSTEM,CM0000072,2025-03,BROKERAGE,B002,HNW,6021,29393885.02,CR,CAS,COMM_202503_B002,RECOGNIZED
SL0000075,COMMISSION_SYSTEM,CM0000073,2025-03,BROKERAGE,B003,RETAIL,6021,32624441.34,CR,CAS,COMM_202503_B003,RECOGNIZED
SL0000076,COMMISSION_SYSTEM,CM0000074,2025-03,BROKERAGE,B003,RETAIL,6021,1287615.15,CR,CAS,COMM_202503_B003,RECOGNIZED
SL0000077,COMMISSION_SYSTEM,CM0000075,2025-03,BROKERAGE,B003,HNW,6021,1545397.74,CR,CAS,COMM_202503_B003,RECOGNIZED
SL0000078,COMMISSION_SYSTEM,CM0000076,2025-03,BROKERAGE,B003,RETAIL,6021,796652.79,CR,CAS,COMM_202503_B003,RECOGNIZED
SL0000079,COMMISSION_SYSTEM,CM0000081,2025-03,BROKERAGE,B005,RETAIL,6021,140870.59,CR,CAS,COMM_202503_B005,RECOGNIZED
SL0000080,COMMISSION_SYSTEM,CM0000082,2025-03,BROKERAGE,B005,HNW,6021,2316206.75,CR,CAS,COMM_202503_B005,RECOGNIZED
SL0000081,COMMISSION_SYSTEM,CM0000083,2025-03,BROKERAGE,B005,RETAIL,6021,1665221.41,CR,CAS,COMM_202503_B005,RECOGNIZED
SL0000082,COMMISSION_SYSTEM,CM0000084,2025-03,BROKERAGE,B005,HNW,6021,20976698.41,CR,CAS,COMM_202503_B005,RECOGNIZED
SL0000083,COMMISSION_SYSTEM,CM0000085,2025-03,BROKERAGE,B006,INSTITUTION,6021,1652127.07,CR,CAS,COMM_202503_B006,RECOGNIZED
SL0000084,COMMISSION_SYSTEM,CM0000086,2025-03,BROKERAGE,B006,RETAIL,6021,12786655.11,CR,CAS,COMM_202503_B006,RECOGNIZED
SL0000085,COMMISSION_SYSTEM,CM0000087,2025-03,BROKERAGE,B006,RETAIL,6021,4466962.8,CR,CAS,COMM_202503_B006,RECOGNIZED
SL0000086,COMMISSION_SYSTEM,CM0000088,2025-03,BROKERAGE,B006,RETAIL,6021,3404474.72,CR,CAS,COMM_202503_B006,RECOGNIZED
SL0000087,COMMISSION_SYSTEM,CM0000089,2025-03,BROKERAGE,B007,RETAIL,6021,35191679.89,CR,CAS,COMM_202503_B007,RECOGNIZED
SL0000088,COMMISSION_SYSTEM,CM0000090,2025-03,BROKERAGE,B007,RETAIL,6021,41999.16,CR,CAS,COMM_202503_B007,RECOGNIZED
SL0000089,COMMISSION_SYSTEM,CM0000091,2025-03,BROKERAGE,B007,INSTITUTION,6021,7361.23,CR,CAS,COMM_202503_B007,RECOGNIZED
SL0000090,COMMISSION_SYSTEM,CM0000092,2025-03,BROKERAGE,B007,RETAIL,6021,3801844.19,CR,CAS,COMM_202503_B007,RECOGNIZED
SL0000091,COMMISSION_SYSTEM,CM0000093,2025-03,BROKERAGE,B008,RETAIL,6021,20187341.2,CR,CAS,COMM_202503_B008,RECOGNIZED
SL0000092,COMMISSION_SYSTEM,CM0000094,2025-03,BROKERAGE,B008,RETAIL,6021,4138770.74,CR,CAS,COMM_202503_B008,RECOGNIZED
SL0000093,COMMISSION_SYSTEM,CM0000095,2025-03,BROKERAGE,B008,RETAIL,6021,400193.74,CR,CAS,COMM_202503_B008,RECOGNIZED
SL0000094,COMMISSION_SYSTEM,CM0000096,2025-03,BROKERAGE,B008,HNW,6021,372691.48,CR,CAS,COMM_202503_B008,RECOGNIZED
SL0000095,WEALTH_SYSTEM,WL202503,2025-03,WEALTH,B005,HNW,6022,3371851.17,CR,CAS,WEALTH_202503,RECOGNIZED
SL0000096,COMMISSION_SYSTEM,CM0000097,2025-04,BROKERAGE,B001,RETAIL,6021,15963599.09,CR,CAS,COMM_202504_B001,RECOGNIZED
SL0000097,COMMISSION_SYSTEM,CM0000098,2025-04,BROKERAGE,B001,RETAIL,6021,20018733.34,CR,CAS,COMM_202504_B001,RECOGNIZED
SL0000098,COMMISSION_SYSTEM,CM0000099,2025-04,BROKERAGE,B001,HNW,6021,4198333.9,CR,CAS,COMM_202504_B001,RECOGNIZED
SL0000099,COMMISSION_SYSTEM,CM0000100,2025-04,BROKERAGE,B001,RETAIL,6021,2263166.27,CR,CAS,COMM_202504_B001,RECOGNIZED
SL0000100,COMMISSION_SYSTEM,CM0000101,2025-04,BROKERAGE,B002,HNW,6021,4952377.07,CR,CAS,COMM_202504_B002,RECOGNIZED
SL0000101,COMMISSION_SYSTEM,CM0000102,2025-04,BROKERAGE,B002,RETAIL,6021,7053515.21,CR,CAS,COMM_202504_B002,RECOGNIZED
SL0000102,COMMISSION_SYSTEM,CM0000103,2025-04,BROKERAGE,B002,RETAIL,6021,27082109.56,CR,CAS,COMM_202504_B002,RECOGNIZED
SL0000103,COMMISSION_SYSTEM,CM0000104,2025-04,BROKERAGE,B002,INSTITUTION,6021,13966788.91,CR,CAS,COMM_202504_B002,RECOGNIZED
SL0000104,COMMISSION_SYSTEM,CM0000105,2025-04,BROKERAGE,B003,INSTITUTION,6021,687971.14,CR,CAS,COMM_202504_B003,RECOGNIZED
SL0000105,COMMISSION_SYSTEM,CM0000106,2025-04,BROKERAGE,B003,INSTITUTION,6021,9394641.56,CR,CAS,COMM_202504_B003,RECOGNIZED
SL0000106,COMMISSION_SYSTEM,CM0000107,2025-04,BROKERAGE,B003,RETAIL,6021,18148973.53,CR,CAS,COMM_202504_B003,RECOGNIZED
SL0000107,COMMISSION_SYSTEM,CM0000108,2025-04,BROKERAGE,B003,RETAIL,6021,6254027.77,CR,CAS,COMM_202504_B003,RECOGNIZED
SL0000108,COMMISSION_SYSTEM,CM0000109,2025-04,BROKERAGE,B004,RETAIL,6021,15385543.38,CR,CAS,COMM_202504_B004,RECOGNIZED
SL0000109,COMMISSION_SYSTEM,CM0000110,2025-04,BROKERAGE,B004,HNW,6021,5611432.9,CR,CAS,COMM_202504_B004,RECOGNIZED
SL0000110,COMMISSION_SYSTEM,CM0000111,2025-04,BROKERAGE,B004,INSTITUTION,6021,2404074.32,CR,CAS,COMM_202504_B004,RECOGNIZED
SL0000111,COMMISSION_SYSTEM,CM0000112,2025-04,BROKERAGE,B004,RETAIL,6021,5779084.31,CR,CAS,COMM_202504_B004,RECOGNIZED
SL0000112,COMMISSION_SYSTEM,CM0000113,2025-04,BROKERAGE,B005,RETAIL,6021,1083437.33,CR,CAS,COMM_202504_B005,RECOGNIZED
SL0000113,COMMISSION_SYSTEM,CM0000114,2025-04,BROKERAGE,B005,RETAIL,6021,7797090.16,CR,CAS,COMM_202504_B005,RECOGNIZED
SL0000114,COMMISSION_SYSTEM,CM0000115,2025-04,BROKERAGE,B005,RETAIL,6021,5993645.6,CR,CAS,COMM_202504_B005,RECOGNIZED
SL0000115,COMMISSION_SYSTEM,CM0000116,2025-04,BROKERAGE,B005,RETAIL,6021,9000482.75,CR,CAS,COMM_202504_B005,RECOGNIZED
SL0000116,COMMISSION_SYSTEM,CM0000117,2025-04,BROKERAGE,B006,RETAIL,6021,5063506.14,CR,CAS,COMM_202504_B006,RECOGNIZED
SL0000117,COMMISSION_SYSTEM,CM0000118,2025-04,BROKERAGE,B006,RETAIL,6021,8777592.85,CR,CAS,COMM_202504_B006,RECOGNIZED
SL0000118,COMMISSION_SYSTEM,CM0000119,2025-04,BROKERAGE,B006,HNW,6021,634005.82,CR,CAS,COMM_202504_B006,RECOGNIZED
SL0000119,COMMISSION_SYSTEM,CM0000120,2025-04,BROKERAGE,B006,RETAIL,6021,6746811.48,CR,CAS,COMM_202504_B006,RECOGNIZED
SL0000120,COMMISSION_SYSTEM,CM0000121,2025-04,BROKERAGE,B007,HNW,6021,7498969.64,CR,CAS,COMM_202504_B007,RECOGNIZED
SL0000121,COMMISSION_SYSTEM,CM0000122,2025-04,BROKERAGE,B007,INSTITUTION,6021,3012661.1,CR,CAS,COMM_202504_B007,RECOGNIZED
SL0000122,COMMISSION_SYSTEM,CM0000123,2025-04,BROKERAGE,B007,INSTITUTION,6021,1547590.68,CR,CAS,COMM_202504_B007,RECOGNIZED
SL0000123,COMMISSION_SYSTEM,CM0000124,2025-04,BROKERAGE,B007,INSTITUTION,6021,25079132.11,CR,CAS,COMM_202504_B007,RECOGNIZED
SL0000124,COMMISSION_SYSTEM,CM0000125,2025-04,BROKERAGE,B008,RETAIL,6021,1375936.43,CR,CAS,COMM_202504_B008,RECOGNIZED
SL0000125,COMMISSION_SYSTEM,CM0000126,2025-04,BROKERAGE,B008,RETAIL,6021,3457271.96,CR,CAS,COMM_202504_B008,RECOGNIZED
SL0000126,COMMISSION_SYSTEM,CM0000127,2025-04,BROKERAGE,B008,INSTITUTION,6021,18671363.59,CR,CAS,COMM_202504_B008,RECOGNIZED
SL0000127,COMMISSION_SYSTEM,CM0000128,2025-04,BROKERAGE,B008,RETAIL,6021,370083.86,CR,CAS,COMM_202504_B008,RECOGNIZED
SL0000128,WEALTH_SYSTEM,WL202504,2025-04,WEALTH,B002,HNW,6022,3207370.63,CR,CAS,WEALTH_202504,RECOGNIZED
SL0000129,COMMISSION_SYSTEM,CM0000129,2025-05,BROKERAGE,B001,RETAIL,6021,21798664.32,CR,CAS,COMM_202505_B001,RECOGNIZED
SL0000130,COMMISSION_SYSTEM,CM0000130,2025-05,BROKERAGE,B001,INSTITUTION,6021,5283351.44,CR,CAS,COMM_202505_B001,RECOGNIZED
SL0000131,COMMISSION_SYSTEM,CM0000131,2025-05,BROKERAGE,B001,RETAIL,6021,17830521.25,CR,CAS,COMM_202505_B001,RECOGNIZED
SL0000132,COMMISSION_SYSTEM,CM0000132,2025-05,BROKERAGE,B001,RETAIL,6021,1340357.49,CR,CAS,COMM_202505_B001,RECOGNIZED
SL0000133,COMMISSION_SYSTEM,CM0000133,2025-05,BROKERAGE,B002,HNW,6021,1723217.25,CR,CAS,COMM_202505_B002,RECOGNIZED
SL0000134,COMMISSION_SYSTEM,CM0000134,2025-05,BROKERAGE,B002,RETAIL,6021,5982004.0,CR,CAS,COMM_202505_B002,RECOGNIZED
SL0000135,COMMISSION_SYSTEM,CM0000135,2025-05,BROKERAGE,B002,RETAIL,6021,26721167.62,CR,CAS,COMM_202505_B002,RECOGNIZED
SL0000136,COMMISSION_SYSTEM,CM0000136,2025-05,BROKERAGE,B002,RETAIL,6021,23389729.26,CR,CAS,COMM_202505_B002,RECOGNIZED
SL0000137,COMMISSION_SYSTEM,CM0000137,2025-05,BROKERAGE,B003,RETAIL,6021,12642864.79,CR,CAS,COMM_202505_B003,RECOGNIZED
SL0000138,COMMISSION_SYSTEM,CM0000138,2025-05,BROKERAGE,B003,RETAIL,6021,1833822.8,CR,CAS,COMM_202505_B003,RECOGNIZED
SL0000139,COMMISSION_SYSTEM,CM0000139,2025-05,BROKERAGE,B003,RETAIL,6021,14151301.7,CR,CAS,COMM_202505_B003,RECOGNIZED
SL0000140,COMMISSION_SYSTEM,CM0000140,2025-05,BROKERAGE,B003,INSTITUTION,6021,8952487.49,CR,CAS,COMM_202505_B003,RECOGNIZED
SL0000141,COMMISSION_SYSTEM,CM0000141,2025-05,BROKERAGE,B004,RETAIL,6021,810403.46,CR,CAS,COMM_202505_B004,RECOGNIZED
SL0000142,COMMISSION_SYSTEM,CM0000142,2025-05,BROKERAGE,B004,RETAIL,6021,8019729.82,CR,CAS,COMM_202505_B004,RECOGNIZED
SL0000143,COMMISSION_SYSTEM,CM0000143,2025-05,BROKERAGE,B004,RETAIL,6021,13001104.95,CR,CAS,COMM_202505_B004,RECOGNIZED
SL0000144,COMMISSION_SYSTEM,CM0000144,2025-05,BROKERAGE,B004,RETAIL,6021,9967626.74,CR,CAS,COMM_202505_B004,RECOGNIZED
SL0000145,COMMISSION_SYSTEM,CM0000145,2025-05,BROKERAGE,B005,RETAIL,6021,18237106.41,CR,CAS,COMM_202505_B005,RECOGNIZED
SL0000146,COMMISSION_SYSTEM,CM0000146,2025-05,BROKERAGE,B005,RETAIL,6021,2724753.42,CR,CAS,COMM_202505_B005,RECOGNIZED
SL0000147,COMMISSION_SYSTEM,CM0000147,2025-05,BROKERAGE,B005,RETAIL,6021,999058.95,CR,CAS,COMM_202505_B005,RECOGNIZED
SL0000148,COMMISSION_SYSTEM,CM0000148,2025-05,BROKERAGE,B005,RETAIL,6021,4056334.37,CR,CAS,COMM_202505_B005,RECOGNIZED
SL0000149,COMMISSION_SYSTEM,CM0000149,2025-05,BROKERAGE,B006,INSTITUTION,6021,38046.99,CR,CAS,COMM_202505_B006,RECOGNIZED
SL0000150,COMMISSION_SYSTEM,CM0000150,2025-05,BROKERAGE,B006,HNW,6021,9395275.15,CR,CAS,COMM_202505_B006,RECOGNIZED
SL0000151,COMMISSION_SYSTEM,CM0000151,2025-05,BROKERAGE,B006,INSTITUTION,6021,1353316.97,CR,CAS,COMM_202505_B006,RECOGNIZED
SL0000152,COMMISSION_SYSTEM,CM0000152,2025-05,BROKERAGE,B006,INSTITUTION,6021,12339808.14,CR,CAS,COMM_202505_B006,RECOGNIZED
SL0000153,COMMISSION_SYSTEM,CM0000153,2025-05,BROKERAGE,B007,RETAIL,6021,11812582.59,CR,CAS,COMM_202505_B007,RECOGNIZED
SL0000154,COMMISSION_SYSTEM,CM0000154,2025-05,BROKERAGE,B007,RETAIL,6021,3338350.38,CR,CAS,COMM_202505_B007,RECOGNIZED
SL0000155,COMMISSION_SYSTEM,CM0000155,2025-05,BROKERAGE,B007,INSTITUTION,6021,11514344.08,CR,CAS,COMM_202505_B007,RECOGNIZED
SL0000156,COMMISSION_SYSTEM,CM0000156,2025-05,BROKERAGE,B007,INSTITUTION,6021,13806005.65,CR,CAS,COMM_202505_B007,RECOGNIZED
SL0000157,COMMISSION_SYSTEM,CM0000157,2025-05,BROKERAGE,B008,HNW,6021,12361657.42,CR,CAS,COMM_202505_B008,RECOGNIZED
SL0000158,COMMISSION_SYSTEM,CM0000158,2025-05,BROKERAGE,B008,RETAIL,6021,1933918.4,CR,CAS,COMM_202505_B008,RECOGNIZED
SL0000159,COMMISSION_SYSTEM,CM0000159,2025-05,BROKERAGE,B008,INSTITUTION,6021,9559559.53,CR,CAS,COMM_202505_B008,RECOGNIZED
SL0000160,COMMISSION_SYSTEM,CM0000160,2025-05,BROKERAGE,B008,RETAIL,6021,2162117.82,CR,CAS,COMM_202505_B008,RECOGNIZED
SL0000161,WEALTH_SYSTEM,WL202505,2025-05,WEALTH,B005,HNW,6022,3495211.58,CR,CAS,WEALTH_202505,RECOGNIZED
SL0000162,COMMISSION_SYSTEM,CM0000161,2025-06,BROKERAGE,B001,RETAIL,6021,31990682.94,CR,CAS,COMM_202506_B001,RECOGNIZED
SL0000163,COMMISSION_SYSTEM,CM0000162,2025-06,BROKERAGE,B001,HNW,6021,942189.38,CR,CAS,COMM_202506_B001,RECOGNIZED
SL0000164,COMMISSION_SYSTEM,CM0000163,2025-06,BROKERAGE,B001,RETAIL,6021,9962338.8,CR,CAS,COMM_202506_B001,RECOGNIZED
SL0000165,COMMISSION_SYSTEM,CM0000164,2025-06,BROKERAGE,B001,HNW,6021,1181076.59,CR,CAS,COMM_202506_B001,RECOGNIZED
SL0000166,COMMISSION_SYSTEM,CM0000165,2025-06,BROKERAGE,B002,RETAIL,6021,4066566.86,CR,CAS,COMM_202506_B002,RECOGNIZED
SL0000167,COMMISSION_SYSTEM,CM0000166,2025-06,BROKERAGE,B002,RETAIL,6021,2276142.72,CR,CAS,COMM_202506_B002,RECOGNIZED
