allocation_id,period,pool_id,rule_id,target_id,target_type,allocated_amount,allocation_ratio,posting_status,management_account_code
ALLOC00003_B007,2025-01,POOL00003,RULE_202501_03_V2,B007,BRANCH,859253.96,0.09521363,POSTED,6602
ALLOC00003_B008,2025-01,POOL00003,RULE_202501_03_V2,B008,BRANCH,541862.35,0.06004358,POSTED,6602
ALLOC00004_B001,2025-01,POOL00004,RULE_202501_04_V2,B001,BRANCH,1587736.39,0.22949797,POSTED,6602
ALLOC00004_B002,2025-01,POOL00004,RULE_202501_04_V2,B002,BRANCH,458813.17,0.06631875,POSTED,6602
ALLOC00004_B003,2025-01,POOL00004,RULE_202501_04_V2,B003,BRANCH,1307926.93,0.18905315,POSTED,6602
ALLOC00004_B004,2025-01,POOL00004,RULE_202501_04_V2,B004,BRANCH,259880.68,0.03756423,POSTED,6602
ALLOC00004_B005,2025-01,POOL00004,RULE_202501_04_V2,B005,BRANCH,235843.32,0.03408977,POSTED,6602
ALLOC00004_B006,2025-01,POOL00004,RULE_202501_04_V2,B006,BRANCH,1657640.63,0.23960222,POSTED,6602
ALLOC00004_B007,2025-01,POOL00004,RULE_202501_04_V2,B007,BRANCH,259603.18,0.03752411,POSTED,6602
ALLOC00004_B008,2025-01,POOL00004,RULE_202501_04_V2,B008,BRANCH,1150858.3,0.16634981,POSTED,6602
ALLOC00005_B001,2025-01,POOL00005,RULE_202501_05_V2,B001,BRANCH,721937.67,0.09688747,POSTED,6602
ALLOC00005_B002,2025-01,POOL00005,RULE_202501_05_V2,B002,BRANCH,397068.33,0.05328846,POSTED,6602
ALLOC00005_B003,2025-01,POOL00005,RULE_202501_05_V2,B003,BRANCH,1109053.81,0.14884029,POSTED,6602
ALLOC00005_B004,2025-01,POOL00005,RULE_202501_05_V2,B004,BRANCH,546619.43,0.07335893,POSTED,6602
ALLOC00005_B005,2025-01,POOL00005,RULE_202501_05_V2,B005,BRANCH,204888.11,0.02749696,POSTED,6602
ALLOC00005_B006,2025-01,POOL00005,RULE_202501_05_V2,B006,BRANCH,1337136.97,0.17945014,POSTED,6602
ALLOC00005_B007,2025-01,POOL00005,RULE_202501_05_V2,B007,BRANCH,1160829.92,0.15578889,POSTED,6602
ALLOC00005_B008,2025-01,POOL00005,RULE_202501_05_V2,B008,BRANCH,1973766.62,0.26488886,POSTED,6602
ALLOC00006_B001,2025-01,POOL00006,RULE_202501_06_V2,B001,BRANCH,1758589.36,0.12890801,POSTED,6602
ALLOC00006_B002,2025-01,POOL00006,RULE_202501_06_V2,B002,BRANCH,2384294.49,0.17477341,POSTED,6602
ALLOC00006_B003,2025-01,POOL00006,RULE_202501_06_V2,B003,BRANCH,1163609.95,0.08529487,POSTED,6602
ALLOC00006_B004,2025-01,POOL00006,RULE_202501_06_V2,B004,BRANCH,2859219.4,0.20958633,POSTED,6602
ALLOC00006_B005,2025-01,POOL00006,RULE_202501_06_V2,B005,BRANCH,415834.47,0.03048147,POSTED,6602
ALLOC00006_B006,2025-01,POOL00006,RULE_202501_06_V2,B006,BRANCH,1083216.75,0.07940189,POSTED,6602
ALLOC00006_B007,2025-01,POOL00006,RULE_202501_06_V2,B007,BRANCH,2767671.38,0.20287569,POSTED,6602
ALLOC00006_B008,2025-01,POOL00006,RULE_202501_06_V2,B008,BRANCH,1209767.71,0.08867832,POSTED,6602
ALLOC00007_B001,2025-01,POOL00007,RULE_202501_07_V2,B001,BRANCH,1129456.0,0.19010891,POSTED,6602
ALLOC00007_B002,2025-01,POOL00007,RULE_202501_07_V2,B002,BRANCH,718935.72,0.12101054,POSTED,6602
ALLOC00007_B003,2025-01,POOL00007,RULE_202501_07_V2,B003,BRANCH,1249293.54,0.21027985,POSTED,6602
ALLOC00007_B004,2025-01,POOL00007,RULE_202501_07_V2,B004,BRANCH,258383.69,0.04349089,POSTED,6602
ALLOC00007_B005,2025-01,POOL00007,RULE_202501_07_V2,B005,BRANCH,447247.87,0.07528032,POSTED,6602
ALLOC00007_B006,2025-01,POOL00007,RULE_202501_07_V2,B006,BRANCH,1258769.0,0.21187475,POSTED,6602
ALLOC00007_B007,2025-01,POOL00007,RULE_202501_07_V2,B007,BRANCH,615875.1,0.10366348,POSTED,6602
ALLOC00007_B008,2025-01,POOL00007,RULE_202501_07_V2,B008,BRANCH,263138.85,0.04429127,POSTED,6602
ALLOC00008_B001,2025-01,POOL00008,RULE_202501_08_V2,B001,BRANCH,3111414.63,0.25935894,POSTED,6602
ALLOC00008_B002,2025-01,POOL00008,RULE_202501_08_V2,B002,BRANCH,2436779.56,0.20312322,POSTED,6602
ALLOC00008_B003,2025-01,POOL00008,RULE_202501_08_V2,B003,BRANCH,2123293.38,0.17699188,POSTED,6602
ALLOC00008_B004,2025-01,POOL00008,RULE_202501_08_V2,B004,BRANCH,950963.0,0.07926965,POSTED,6602
ALLOC00008_B005,2025-01,POOL00008,RULE_202501_08_V2,B005,BRANCH,678051.67,0.05652052,POSTED,6602
ALLOC00008_B006,2025-01,POOL00008,RULE_202501_08_V2,B006,BRANCH,278717.92,0.02323316,POSTED,6602
ALLOC00008_B007,2025-01,POOL00008,RULE_202501_08_V2,B007,BRANCH,877251.29,0.07312525,POSTED,6602
ALLOC00008_B008,2025-01,POOL00008,RULE_202501_08_V2,B008,BRANCH,1540086.65,0.12837738,POSTED,6602
ALLOC00009_B001,2025-01,POOL00009,RULE_202501_09_V2,B001,BRANCH,759988.24,0.06189235,POSTED,6602
ALLOC00009_B002,2025-01,POOL00009,RULE_202501_09_V2,B002,BRANCH,491981.24,0.04006625,POSTED,6602
ALLOC00009_B003,2025-01,POOL00009,RULE_202501_09_V2,B003,BRANCH,651929.88,0.05309224,POSTED,6602
ALLOC00009_B004,2025-01,POOL00009,RULE_202501_09_V2,B004,BRANCH,3641640.9,0.29657002,POSTED,6602
ALLOC00009_B005,2025-01,POOL00009,RULE_202501_09_V2,B005,BRANCH,2015087.88,0.16410587,POSTED,6602
ALLOC00009_B006,2025-01,POOL00009,RULE_202501_09_V2,B006,BRANCH,599179.51,0.04879632,POSTED,6602
ALLOC00009_B007,2025-01,POOL00009,RULE_202501_09_V2,B007,BRANCH,2127831.06,0.17328752,POSTED,6602
ALLOC00009_B008,2025-01,POOL00009,RULE_202501_09_V2,B008,BRANCH,1991555.55,0.16218943,POSTED,6602
ALLOC00010_B001,2025-01,POOL00010,RULE_202501_10_V2,B001,BRANCH,373517.54,0.08816324,POSTED,6602
ALLOC00010_B002,2025-01,POOL00010,RULE_202501_10_V2,B002,BRANCH,534603.4,0.12618515,POSTED,6602
ALLOC00010_B003,2025-01,POOL00010,RULE_202501_10_V2,B003,BRANCH,1005189.21,0.23725991,POSTED,6602
ALLOC00010_B004,2025-01,POOL00010,RULE_202501_10_V2,B004,BRANCH,142476.35,0.03362942,POSTED,6602
ALLOC00010_B005,2025-01,POOL00010,RULE_202501_10_V2,B005,BRANCH,772603.45,0.18236151,POSTED,6602
ALLOC00010_B006,2025-01,POOL00010,RULE_202501_10_V2,B006,BRANCH,482107.05,0.11379417,POSTED,6602
ALLOC00010_B007,2025-01,POOL00010,RULE_202501_10_V2,B007,BRANCH,779570.16,0.1840059,POSTED,6602
ALLOC00010_B008,2025-01,POOL00010,RULE_202501_10_V2,B008,BRANCH,146591.36,0.0346007,POSTED,6602
ALLOC00011_B001,2025-02,POOL00011,RULE_202502_01_V2,B001,BRANCH,2241017.8,0.13754623,POSTED,6602
ALLOC00011_B002,2025-02,POOL00011,RULE_202502_01_V2,B002,BRANCH,1240999.45,0.07616843,POSTED,6602
ALLOC00011_B003,2025-02,POOL00011,RULE_202502_01_V2,B003,BRANCH,1826001.76,0.11207393,POSTED,6602
ALLOC00011_B004,2025-02,POOL00011,RULE_202502_01_V2,B004,BRANCH,2632490.15,0.16157351,POSTED,6602
ALLOC00011_B005,2025-02,POOL00011,RULE_202502_01_V2,B005,BRANCH,1174871.77,0.07210973,POSTED,6602
ALLOC00011_B006,2025-02,POOL00011,RULE_202502_01_V2,B006,BRANCH,1613615.36,0.09903835,POSTED,6602
ALLOC00011_B007,2025-02,POOL00011,RULE_202502_01_V2,B007,BRANCH,3043099.38,0.18677534,POSTED,6602
ALLOC00011_B008,2025-02,POOL00011,RULE_202502_01_V2,B008,BRANCH,2520737.18,0.15471448,POSTED,6602
ALLOC00012_B001,2025-02,POOL00012,RULE_202502_02_V2,B001,BRANCH,185195.33,0.05397799,POSTED,6602
ALLOC00012_B002,2025-02,POOL00012,RULE_202502_02_V2,B002,BRANCH,292143.7,0.08514972,POSTED,6602
ALLOC00012_B003,2025-02,POOL00012,RULE_202502_02_V2,B003,BRANCH,479257.61,0.13968691,POSTED,6602
ALLOC00012_B004,2025-02,POOL00012,RULE_202502_02_V2,B004,BRANCH,395128.63,0.11516624,POSTED,6602
ALLOC00012_B005,2025-02,POOL00012,RULE_202502_02_V2,B005,BRANCH,494576.98,0.14415198,POSTED,6602
ALLOC00012_B006,2025-02,POOL00012,RULE_202502_02_V2,B006,BRANCH,275702.16,0.08035758,POSTED,6602
ALLOC00012_B007,2025-02,POOL00012,RULE_202502_02_V2,B007,BRANCH,669116.4,0.19502414,POSTED,6602
ALLOC00012_B008,2025-02,POOL00012,RULE_202502_02_V2,B008,BRANCH,639820.57,0.18648543,POSTED,6602
ALLOC00013_B001,2025-02,POOL00013,RULE_202502_03_V2,B001,BRANCH,300832.99,0.25593469,POSTED,6602
ALLOC00013_B002,2025-02,POOL00013,RULE_202502_03_V2,B002,BRANCH,133176.44,0.11330031,POSTED,6602
ALLOC00013_B003,2025-02,POOL00013,RULE_202502_03_V2,B003,BRANCH,108961.08,0.09269901,POSTED,6602
ALLOC00013_B004,2025-02,POOL00013,RULE_202502_03_V2,B004,BRANCH,33811.49,0.02876524,POSTED,6602
ALLOC00013_B005,2025-02,POOL00013,RULE_202502_03_V2,B005,BRANCH,28503.48,0.02424943,POSTED,6602
ALLOC00013_B006,2025-02,POOL00013,RULE_202502_03_V2,B006,BRANCH,176813.44,0.15042463,POSTED,6602
ALLOC00013_B007,2025-02,POOL00013,RULE_202502_03_V2,B007,BRANCH,252913.91,0.21516736,POSTED,6602
ALLOC00013_B008,2025-02,POOL00013,RULE_202502_03_V2,B008,BRANCH,140415.93,0.11945933,POSTED,6602
ALLOC00014_B001,2025-02,POOL00014,RULE_202502_04_V2,B001,BRANCH,236045.46,0.05988147,POSTED,6602
ALLOC00014_B002,2025-02,POOL00014,RULE_202502_04_V2,B002,BRANCH,429421.02,0.10893817,POSTED,6602
ALLOC00014_B003,2025-02,POOL00014,RULE_202502_04_V2,B003,BRANCH,770903.85,0.19556764,POSTED,6602
ALLOC00014_B004,2025-02,POOL00014,RULE_202502_04_V2,B004,BRANCH,138640.17,0.03517109,POSTED,6602
ALLOC00014_B005,2025-02,POOL00014,RULE_202502_04_V2,B005,BRANCH,360162.38,0.09136821,POSTED,6602
ALLOC00014_B006,2025-02,POOL00014,RULE_202502_04_V2,B006,BRANCH,597712.02,0.15163127,POSTED,6602
ALLOC00014_B007,2025-02,POOL00014,RULE_202502_04_V2,B007,BRANCH,687183.82,0.17432903,POSTED,6602
ALLOC00014_B008,2025-02,POOL00014,RULE_202502_04_V2,B008,BRANCH,721809.62,0.18311312,POSTED,6602
ALLOC00015_B001,2025-02,POOL00015,RULE_202502_05_V2,B001,BRANCH,2553721.03,0.21578102,POSTED,6602
ALLOC00015_B002,2025-02,POOL00015,RULE_202502_05_V2,B002,BRANCH,2921217.15,0.24683323,POSTED,6602
ALLOC00015_B003,2025-02,POOL00015,RULE_202502_05_V2,B003,BRANCH,731614.87,0.06181905,POSTED,6602
ALLOC00015_B004,2025-02,POOL00015,RULE_202502_05_V2,B004,BRANCH,840301.83,0.07100274,POSTED,6602
ALLOC00015_B005,2025-02,POOL00015,RULE_202502_05_V2,B005,BRANCH,1169652.01,0.09883174,POSTED,6602
ALLOC00015_B006,2025-02,POOL00015,RULE_202502_05_V2,B006,BRANCH,923414.64,0.0780255,POSTED,6602
ALLOC00015_B007,2025-02,POOL00015,RULE_202502_05_V2,B007,BRANCH,1016327.33,0.08587631,POSTED,6602
ALLOC00015_B008,2025-02,POOL00015,RULE_202502_05_V2,B008,BRANCH,1678531.76,0.14183041,POSTED,6602
ALLOC00016_B001,2025-02,POOL00016,RULE_202502_06_V2,B001,BRANCH,1485079.98,0.20375722,POSTED,6602
ALLOC00016_B002,2025-02,POOL00016,RULE_202502_06_V2,B002,BRANCH,1433292.41,0.19665182,POSTED,6602
ALLOC00016_B003,2025-02,POOL00016,RULE_202502_06_V2,B003,BRANCH,628076.63,0.08617391,POSTED,6602
ALLOC00016_B004,2025-02,POOL00016,RULE_202502_06_V2,B004,BRANCH,785956.86,0.10783553,POSTED,6602
ALLOC00016_B005,2025-02,POOL00016,RULE_202502_06_V2,B005,BRANCH,952387.23,0.13067025,POSTED,6602
ALLOC00016_B006,2025-02,POOL00016,RULE_202502_06_V2,B006,BRANCH,1165468.26,0.15990558,POSTED,6602
ALLOC00016_B007,2025-02,POOL00016,RULE_202502_06_V2,B007,BRANCH,377089.25,0.05173772,POSTED,6602
ALLOC00016_B008,2025-02,POOL00016,RULE_202502_06_V2,B008,BRANCH,461127.16,0.06326797,POSTED,6602
ALLOC00017_B001,2025-02,POOL00017,RULE_202502_07_V2,B001,BRANCH,1855396.71,0.17317868,POSTED,6602
ALLOC00017_B002,2025-02,POOL00017,RULE_202502_07_V2,B002,BRANCH,1735678.21,0.16200442,POSTED,6602
ALLOC00017_B003,2025-02,POOL00017,RULE_202502_07_V2,B003,BRANCH,1876688.12,0.17516598,POSTED,6602
ALLOC00017_B004,2025-02,POOL00017,RULE_202502_07_V2,B004,BRANCH,891813.54,0.08323993,POSTED,6602
ALLOC00017_B005,2025-02,POOL00017,RULE_202502_07_V2,B005,BRANCH,1089176.97,0.1016614,POSTED,6602
ALLOC00017_B006,2025-02,POOL00017,RULE_202502_07_V2,B006,BRANCH,647582.24,0.06044391,POSTED,6602
ALLOC00017_B007,2025-02,POOL00017,RULE_202502_07_V2,B007,BRANCH,1595914.79,0.14895921,POSTED,6602
ALLOC00017_B008,2025-02,POOL00017,RULE_202502_07_V2,B008,BRANCH,1021520.11,0.09534646,POSTED,6602
ALLOC00018_B001,2025-02,POOL00018,RULE_202502_08_V2,B001,BRANCH,1449120.18,0.16648489,POSTED,6602
ALLOC00018_B002,2025-02,POOL00018,RULE_202502_08_V2,B002,BRANCH,1609718.43,0.18493552,POSTED,6602
ALLOC00018_B003,2025-02,POOL00018,RULE_202502_08_V2,B003,BRANCH,836421.94,0.0960939,POSTED,6602
ALLOC00018_B004,2025-02,POOL00018,RULE_202502_08_V2,B004,BRANCH,1004829.24,0.11544169,POSTED,6602
ALLOC00018_B005,2025-02,POOL00018,RULE_202502_08_V2,B005,BRANCH,849267.07,0.09756964,POSTED,6602
ALLOC00018_B006,2025-02,POOL00018,RULE_202502_08_V2,B006,BRANCH,1165726.09,0.13392662,POSTED,6602
ALLOC00018_B007,2025-02,POOL00018,RULE_202502_08_V2,B007,BRANCH,739943.08,0.08500975,POSTED,6602
ALLOC00018_B008,2025-02,POOL00018,RULE_202502_08_V2,B008,BRANCH,1049188.64,0.120538,POSTED,6602
ALLOC00019_B001,2025-02,POOL00019,RULE_202502_09_V2,B001,BRANCH,30970.32,0.10076006,POSTED,6602
ALLOC00019_B002,2025-02,POOL00019,RULE_202502_09_V2,B002,BRANCH,11527.86,0.03750518,POSTED,6602
ALLOC00019_B003,2025-02,POOL00019,RULE_202502_09_V2,B003,BRANCH,61030.05,0.19855761,POSTED,6602
ALLOC00019_B004,2025-02,POOL00019,RULE_202502_09_V2,B004,BRANCH,45687.65,0.14864202,POSTED,6602
ALLOC00019_B005,2025-02,POOL00019,RULE_202502_09_V2,B005,BRANCH,13154.96,0.04279886,POSTED,6602
ALLOC00019_B006,2025-02,POOL00019,RULE_202502_09_V2,B006,BRANCH,61982.53,0.20165644,POSTED,6602
ALLOC00019_B007,2025-02,POOL00019,RULE_202502_09_V2,B007,BRANCH,34215.28,0.11131734,POSTED,6602
ALLOC00019_B008,2025-02,POOL00019,RULE_202502_09_V2,B008,BRANCH,48798.34,0.15876248,POSTED,6602
ALLOC00020_B001,2025-02,POOL00020,RULE_202502_10_V2,B001,BRANCH,561477.73,0.20671122,POSTED,6602
ALLOC00020_B002,2025-02,POOL00020,RULE_202502_10_V2,B002,BRANCH,766388.64,0.28215035,POSTED,6602
ALLOC00020_B003,2025-02,POOL00020,RULE_202502_10_V2,B003,BRANCH,93561.78,0.0344453,POSTED,6602
ALLOC00020_B004,2025-02,POOL00020,RULE_202502_10_V2,B004,BRANCH,238815.44,0.08792126,POSTED,6602
ALLOC00020_B005,2025-02,POOL00020,RULE_202502_10_V2,B005,BRANCH,170728.49,0.06285467,POSTED,6602
ALLOC00020_B006,2025-02,POOL00020,RULE_202502_10_V2,B006,BRANCH,365393.55,0.13452172,POSTED,6602
ALLOC00020_B007,2025-02,POOL00020,RULE_202502_10_V2,B007,BRANCH,125786.78,0.04630912,POSTED,6602
ALLOC00020_B008,2025-02,POOL00020,RULE_202502_10_V2,B008,BRANCH,394089.68,0.14508636,POSTED,6602
ALLOC00021_B001,2025-03,POOL00021,RULE_202503_01_V2,B001,BRANCH,61460.06,0.12991006,POSTED,6602
ALLOC00021_B002,2025-03,POOL00021,RULE_202503_01_V2,B002,BRANCH,200698.06,0.42422181,POSTED,6602
ALLOC00021_B003,2025-03,POOL00021,RULE_202503_01_V2,B003,BRANCH,13370.25,0.02826113,POSTED,6602
ALLOC00021_B004,2025-03,POOL00021,RULE_202503_01_V2,B004,BRANCH,26460.82,0.05593107,POSTED,6602
ALLOC00021_B005,2025-03,POOL00021,RULE_202503_01_V2,B005,BRANCH,14378.05,0.03039133,POSTED,6602
ALLOC00021_B006,2025-03,POOL00021,RULE_202503_01_V2,B006,BRANCH,62812.18,0.13276808,POSTED,6602
ALLOC00021_B007,2025-03,POOL00021,RULE_202503_01_V2,B007,BRANCH,31894.78,0.067417,POSTED,6602
ALLOC00021_B008,2025-03,POOL00021,RULE_202503_01_V2,B008,BRANCH,62022.79,0.13109953,POSTED,6602
ALLOC00022_B001,2025-03,POOL00022,RULE_202503_02_V2,B001,BRANCH,1093155.69,0.07608279,POSTED,6602
ALLOC00022_B002,2025-03,POOL00022,RULE_202503_02_V2,B002,BRANCH,3108360.57,0.21633948,POSTED,6602
ALLOC00022_B003,2025-03,POOL00022,RULE_202503_02_V2,B003,BRANCH,2320610.69,0.1615127,POSTED,6602
ALLOC00022_B004,2025-03,POOL00022,RULE_202503_02_V2,B004,BRANCH,809953.99,0.05637217,POSTED,6602
ALLOC00022_B005,2025-03,POOL00022,RULE_202503_02_V2,B005,BRANCH,1182363.12,0.08229156,POSTED,6602
ALLOC00022_B006,2025-03,POOL00022,RULE_202503_02_V2,B006,BRANCH,1059679.12,0.07375284,POSTED,6602
ALLOC00022_B007,2025-03,POOL00022,RULE_202503_02_V2,B007,BRANCH,1722106.93,0.11985731,POSTED,6602
ALLOC00022_B008,2025-03,POOL00022,RULE_202503_02_V2,B008,BRANCH,3071746.19,0.21379115,POSTED,6602
ALLOC00023_B001,2025-03,POOL00023,RULE_202503_03_V2,B001,BRANCH,556551.66,0.10567046,POSTED,6602
ALLOC00023_B002,2025-03,POOL00023,RULE_202503_03_V2,B002,BRANCH,1168518.16,0.22186234,POSTED,6602
ALLOC00023_B003,2025-03,POOL00023,RULE_202503_03_V2,B003,BRANCH,1227507.7,0.23306247,POSTED,6602
ALLOC00023_B004,2025-03,POOL00023,RULE_202503_03_V2,B004,BRANCH,508959.73,0.09663435,POSTED,6602
ALLOC00023_B005,2025-03,POOL00023,RULE_202503_03_V2,B005,BRANCH,592023.11,0.1124053,POSTED,6602
ALLOC00023_B006,2025-03,POOL00023,RULE_202503_03_V2,B006,BRANCH,509405.38,0.09671896,POSTED,6602
ALLOC00023_B007,2025-03,POOL00023,RULE_202503_03_V2,B007,BRANCH,144658.62,0.02746581,POSTED,6602
ALLOC00023_B008,2025-03,POOL00023,RULE_202503_03_V2,B008,BRANCH,559236.96,0.10618031,POSTED,6602
ALLOC00024_B001,2025-03,POOL00024,RULE_202503_04_V2,B001,BRANCH,629629.25,0.15995144,POSTED,6602
ALLOC00024_B002,2025-03,POOL00024,RULE_202503_04_V2,B002,BRANCH,485311.21,0.12328879,POSTED,6602
ALLOC00024_B003,2025-03,POOL00024,RULE_202503_04_V2,B003,BRANCH,439663.26,0.11169235,POSTED,6602
ALLOC00024_B004,2025-03,POOL00024,RULE_202503_04_V2,B004,BRANCH,364264.63,0.09253803,POSTED,6602
ALLOC00024_B005,2025-03,POOL00024,RULE_202503_04_V2,B005,BRANCH,526357.65,0.13371625,POSTED,6602
ALLOC00024_B006,2025-03,POOL00024,RULE_202503_04_V2,B006,BRANCH,354663.14,0.09009886,POSTED,6602
ALLOC00024_B007,2025-03,POOL00024,RULE_202503_04_V2,B007,BRANCH,518438.38,0.13170444,POSTED,6602
ALLOC00024_B008,2025-03,POOL00024,RULE_202503_04_V2,B008,BRANCH,618050.04,0.15700985,POSTED,6602
ALLOC00025_B001,2025-03,POOL00025,RULE_202503_05_V2,B001,BRANCH,321105.2,0.09451222,POSTED,6602
ALLOC00025_B002,2025-03,POOL00025,RULE_202503_05_V2,B002,BRANCH,84594.24,0.02489897,POSTED,6602
ALLOC00025_B003,2025-03,POOL00025,RULE_202503_05_V2,B003,BRANCH,461140.08,0.13572927,POSTED,6602
ALLOC00025_B004,2025-03,POOL00025,RULE_202503_05_V2,B004,BRANCH,700602.96,0.20621137,POSTED,6602
ALLOC00025_B005,2025-03,POOL00025,RULE_202503_05_V2,B005,BRANCH,326486.21,0.09609604,POSTED,6602
ALLOC00025_B006,2025-03,POOL00025,RULE_202503_05_V2,B006,BRANCH,701120.59,0.20636372,POSTED,6602
ALLOC00025_B007,2025-03,POOL00025,RULE_202503_05_V2,B007,BRANCH,568330.31,0.16727901,POSTED,6602
ALLOC00025_B008,2025-03,POOL00025,RULE_202503_05_V2,B008,BRANCH,234119.66,0.06890941,POSTED,6602
ALLOC00026_B001,2025-03,POOL00026,RULE_202503_06_V2,B001,BRANCH,1177143.23,0.16237156,POSTED,6602
ALLOC00026_B002,2025-03,POOL00026,RULE_202503_06_V2,B002,BRANCH,1621571.0,0.22367458,POSTED,6602
ALLOC00026_B003,2025-03,POOL00026,RULE_202503_06_V2,B003,BRANCH,683652.42,0.09430094,POSTED,6602
ALLOC00026_B004,2025-03,POOL00026,RULE_202503_06_V2,B004,BRANCH,1208481.73,0.1666943,POSTED,6602
ALLOC00026_B005,2025-03,POOL00026,RULE_202503_06_V2,B005,BRANCH,552967.01,0.07627459,POSTED,6602
ALLOC00026_B006,2025-03,POOL00026,RULE_202503_06_V2,B006,BRANCH,173521.97,0.02393509,POSTED,6602
ALLOC00026_B007,2025-03,POOL00026,RULE_202503_06_V2,B007,BRANCH,1113141.13,0.15354331,POSTED,6602
ALLOC00026_B008,2025-03,POOL00026,RULE_202503_06_V2,B008,BRANCH,719209.83,0.09920562,POSTED,6602
ALLOC00027_B001,2025-03,POOL00027,RULE_202503_07_V2,B001,BRANCH,1267429.19,0.13563596,POSTED,6602
ALLOC00027_B002,2025-03,POOL00027,RULE_202503_07_V2,B002,BRANCH,1336756.46,0.14305513,POSTED,6602
ALLOC00027_B003,2025-03,POOL00027,RULE_202503_07_V2,B003,BRANCH,1759473.39,0.18829286,POSTED,6602
ALLOC00027_B004,2025-03,POOL00027,RULE_202503_07_V2,B004,BRANCH,855760.95,0.09158062,POSTED,6602
ALLOC00027_B005,2025-03,POOL00027,RULE_202503_07_V2,B005,BRANCH,944825.31,0.10111199,POSTED,6602
ALLOC00027_B006,2025-03,POOL00027,RULE_202503_07_V2,B006,BRANCH,1066339.52,0.11411603,POSTED,6602
ALLOC00027_B007,2025-03,POOL00027,RULE_202503_07_V2,B007,BRANCH,593038.07,0.06346492,POSTED,6602
ALLOC00027_B008,2025-03,POOL00027,RULE_202503_07_V2,B008,BRANCH,1520722.05,0.1627425,POSTED,6602
ALLOC00028_B001,2025-03,POOL00028,RULE_202503_08_V2,B001,BRANCH,3129009.66,0.22271062,POSTED,6602
ALLOC00028_B002,2025-03,POOL00028,RULE_202503_08_V2,B002,BRANCH,2539930.73,0.18078229,POSTED,6602
ALLOC00028_B003,2025-03,POOL00028,RULE_202503_08_V2,B003,BRANCH,2838934.87,0.20206423,POSTED,6602
ALLOC00028_B004,2025-03,POOL00028,RULE_202503_08_V2,B004,BRANCH,772591.23,0.05499001,POSTED,6602
ALLOC00028_B005,2025-03,POOL00028,RULE_202503_08_V2,B005,BRANCH,1209344.85,0.08607642,POSTED,6602
ALLOC00028_B006,2025-03,POOL00028,RULE_202503_08_V2,B006,BRANCH,386455.05,0.02750635,POSTED,6602
