customer_id,customer_type,branch_id,risk_level,open_date,status
C00068,RETAIL,B004,C2,2022-06-11,ACTIVE
C00069,HNW,B007,C3,2022-01-13,ACTIVE
C00070,HNW,B008,C2,2015-06-19,ACTIVE
C00071,RETAIL,B003,C3,2017-04-24,ACTIVE
C00072,HNW,B004,C2,2023-12-21,ACTIVE
C00073,RETAIL,B002,C3,2016-12-02,ACTIVE
C00074,RETAIL,B008,C4,2018-07-01,ACTIVE
C00075,RETAIL,B002,C4,2022-12-10,ACTIVE
C00076,RETAIL,B007,C3,2022-01-01,ACTIVE
C00077,RETAIL,B004,C5,2022-06-27,ACTIVE
C00078,HNW,B002,C4,2018-04-27,ACTIVE
C00079,RETAIL,B004,C3,2015-03-11,ACTIVE
C00080,RETAIL,B004,C3,2023-03-20,ACTIVE
C00081,RETAIL,B003,C4,2015-03-06,DORMANT
C00082,HNW,B001,C2,2018-11-19,ACTIVE
C00083,RETAIL,B007,C3,2020-04-24,ACTIVE
C00084,RETAIL,B003,C3,2018-12-10,ACTIVE
C00085,RETAIL,B004,C4,2017-07-04,ACTIVE
C00086,RETAIL,B005,C2,2019-10-05,ACTIVE
C00087,HNW,B002,C3,2015-05-08,ACTIVE
C00088,RETAIL,B003,C4,2018-06-19,ACTIVE
C00089,HNW,B004,C2,2020-10-22,ACTIVE
C00090,RETAIL,B005,C3,2015-11-18,ACTIVE
C00091,RETAIL,B003,C4,2019-01-15,ACTIVE
C00092,HNW,B007,C4,2017-01-25,ACTIVE
C00093,INSTITUTION,B006,C2,2022-10-02,ACTIVE
C00094,RETAIL,B005,C2,2021-02-17,ACTIVE
C00095,RETAIL,B003,C3,2018-05-01,ACTIVE
C00096,HNW,B002,C2,2021-10-01,ACTIVE
C00097,RETAIL,B002,C3,2024-11-18,ACTIVE
C00098,HNW,B001,C3,2022-09-27,ACTIVE
C00099,RETAIL,B001,C2,2018-02-12,ACTIVE
C00100,HNW,B007,C4,2023-08-27,ACTIVE
C00101,RETAIL,B004,C3,2023-06-22,ACTIVE
C00102,RETAIL,B003,C2,2017-10-24,ACTIVE
C00103,RETAIL,B003,C2,2022-04-21,ACTIVE
C00104,RETAIL,B004,C4,2023-09-08,ACTIVE
C00105,INSTITUTION,B002,C3,2023-11-19,ACTIVE
C00106,RETAIL,B004,C2,2024-09-11,ACTIVE
C00107,RETAIL,B005,C3,2021-02-26,ACTIVE
C00108,HNW,B005,C4,2015-01-08,ACTIVE
C00109,RETAIL,B002,C3,2023-09-12,ACTIVE
C00110,RETAIL,B002,C3,2018-08-14,ACTIVE
C00111,RETAIL,B007,C3,2016-10-01,ACTIVE
C00112,HNW,B002,C2,2017-06-24,ACTIVE
C00113,RETAIL,B008,C3,2016-12-18,ACTIVE
C00114,INSTITUTION,B002,C5,2021-01-17,ACTIVE
C00115,RETAIL,B004,C3,2019-02-20,ACTIVE
C00116,RETAIL,B002,C2,2020-08-08,ACTIVE
C00117,RETAIL,B004,C2,2023-09-07,ACTIVE
C00118,RETAIL,B005,C2,2022-11-17,ACTIVE
C00119,HNW,B002,C4,2020-08-02,ACTIVE
C00120,RETAIL,B002,C3,2019-09-19,ACTIVE
C00121,INSTITUTION,B006,C4,2019-05-23,ACTIVE
C00122,HNW,B004,C4,2018-01-20,ACTIVE
C00123,RETAIL,B005,C3,2020-11-24,ACTIVE
C00124,RETAIL,B008,C3,2017-04-06,ACTIVE
C00125,HNW,B001,C3,2019-05-20,ACTIVE
C00126,RETAIL,B006,C2,2018-06-05,ACTIVE
C00127,INSTITUTION,B004,C3,2015-02-12,ACTIVE
C00128,RETAIL,B002,C2,2018-12-17,ACTIVE
C00129,RETAIL,B002,C4,2020-01-09,ACTIVE
C00130,RETAIL,B002,C3,2023-06-26,ACTIVE
C00131,RETAIL,B006,C3,2022-12-25,ACTIVE
C00132,RETAIL,B006,C2,2021-01-09,ACTIVE
C00133,RETAIL,B004,C3,2020-03-20,ACTIVE
C00134,HNW,B003,C3,2023-12-19,ACTIVE
C00135,RETAIL,B002,C5,2022-09-02,ACTIVE
C00136,HNW,B006,C4,2023-11-18,ACTIVE
C00137,RETAIL,B006,C2,2016-12-20,ACTIVE
C00138,RETAIL,B005,C3,2021-11-21,ACTIVE
C00139,HNW,B003,C3,2024-12-16,ACTIVE
C00140,INSTITUTION,B008,C3,2016-08-03,ACTIVE
C00141,RETAIL,B003,C3,2019-04-19,ACTIVE
C00142,HNW,B005,C3,2023-06-17,ACTIVE
C00143,RETAIL,B004,C3,2022-10-10,ACTIVE
C00144,HNW,B008,C5,2022-10-25,ACTIVE
C00145,INSTITUTION,B002,C2,2023-03-27,ACTIVE
C00146,RETAIL,B001,C4,2015-07-09,DORMANT
C00147,RETAIL,B007,C4,2015-09-04,ACTIVE
C00148,RETAIL,B002,C2,2019-01-08,ACTIVE
C00149,RETAIL,B005,C3,2018-11-06,ACTIVE
C00150,INSTITUTION,B003,C3,2022-09-20,ACTIVE
C00151,HNW,B007,C3,2016-06-03,ACTIVE
C00152,INSTITUTION,B001,C2,2019-09-23,ACTIVE
C00153,HNW,B004,C4,2020-11-11,ACTIVE
C00154,RETAIL,B006,C3,2015-03-04,ACTIVE
C00155,RETAIL,B008,C4,2022-06-25,ACTIVE
C00156,RETAIL,B008,C4,2019-03-24,ACTIVE
C00157,RETAIL,B002,C4,2019-12-22,ACTIVE
C00158,INSTITUTION,B001,C3,2018-11-01,ACTIVE
C00159,INSTITUTION,B008,C4,2024-11-03,ACTIVE
C00160,RETAIL,B001,C5,2019-05-23,ACTIVE
C00161,INSTITUTION,B002,C3,2016-02-02,ACTIVE
C00162,HNW,B001,C2,2019-05-02,ACTIVE
C00163,RETAIL,B001,C5,2018-09-20,ACTIVE
C00164,INSTITUTION,B007,C4,2022-10-23,ACTIVE
C00165,RETAIL,B001,C3,2023-09-07,ACTIVE
C00166,RETAIL,B001,C5,2022-09-06,ACTIVE
C00167,RETAIL,B001,C3,2018-05-25,ACTIVE
C00168,RETAIL,B002,C4,2020-06-07,ACTIVE
C00169,INSTITUTION,B008,C4,2024-06-02,ACTIVE
C00170,HNW,B002,C3,2024-03-11,ACTIVE
C00171,RETAIL,B001,C4,2020-11-24,ACTIVE
C00172,RETAIL,B008,C3,2023-07-21,ACTIVE
C00173,RETAIL,B002,C3,2023-07-09,ACTIVE
C00174,INSTITUTION,B008,C3,2016-08-26,ACTIVE
C00175,RETAIL,B002,C2,2015-08-11,ACTIVE
C00176,RETAIL,B002,C3,2021-10-19,ACTIVE
C00177,RETAIL,B002,C3,2015-04-02,ACTIVE
C00178,RETAIL,B001,C3,2019-05-26,ACTIVE
C00179,HNW,B008,C3,2019-06-02,ACTIVE
C00180,RETAIL,B002,C2,2019-11-10,ACTIVE
C00181,INSTITUTION,B007,C3,2018-11-06,ACTIVE
C00182,RETAIL,B003,C3,2024-11-12,ACTIVE
C00183,RETAIL,B001,C4,2024-05-21,ACTIVE
C00184,HNW,B007,C3,2018-07-04,ACTIVE
C00185,RETAIL,B004,C2,2021-08-27,ACTIVE
C00186,RETAIL,B005,C3,2020-11-25,ACTIVE
C00187,RETAIL,B001,C2,2023-12-09,ACTIVE
C00188,HNW,B005,C5,2023-03-21,ACTIVE
C00189,RETAIL,B007,C3,2022-03-18,ACTIVE
C00190,RETAIL,B008,C3,2019-10-13,ACTIVE
C00191,RETAIL,B005,C2,2017-02-17,DORMANT
C00192,HNW,B004,C5,2019-12-09,ACTIVE
C00193,RETAIL,B004,C4,2021-07-14,ACTIVE
C00194,RETAIL,B002,C3,2024-09-22,ACTIVE
C00195,RETAIL,B007,C2,2020-03-14,ACTIVE
C00196,RETAIL,B007,C3,2020-05-04,ACTIVE
C00197,HNW,B003,C3,2020-11-02,ACTIVE
C00198,INSTITUTION,B003,C3,2023-05-04,ACTIVE
C00199,INSTITUTION,B006,C2,2016-01-23,ACTIVE
C00200,HNW,B005,C2,2016-08-27,ACTIVE
C00201,RETAIL,B002,C3,2020-01-24,ACTIVE
C00202,RETAIL,B005,C2,2019-12-10,ACTIVE
C00203,RETAIL,B005,C2,2017-05-23,ACTIVE
C00204,HNW,B003,C5,2021-05-11,ACTIVE
C00205,RETAIL,B008,C4,2023-09-11,ACTIVE
C00206,RETAIL,B005,C3,2016-11-09,ACTIVE
C00207,RETAIL,B007,C3,2015-02-21,DORMANT
C00208,RETAIL,B002,C3,2023-10-03,ACTIVE
C00209,INSTITUTION,B006,C2,2020-06-04,ACTIVE
C00210,INSTITUTION,B002,C4,2021-04-08,ACTIVE
C00211,INSTITUTION,B002,C3,2023-05-02,ACTIVE
C00212,RETAIL,B001,C3,2021-10-17,ACTIVE
C00213,HNW,B002,C4,2019-05-04,ACTIVE
C00214,RETAIL,B001,C3,2015-06-20,ACTIVE
C00215,HNW,B001,C3,2015-01-25,ACTIVE
C00216,RETAIL,B002,C3,2024-09-20,ACTIVE
C00217,RETAIL,B002,C3,2020-10-03,ACTIVE
C00218,RETAIL,B004,C2,2024-08-09,ACTIVE
C00219,RETAIL,B003,C4,2024-09-27,ACTIVE
C00220,RETAIL,B004,C2,2018-05-09,ACTIVE
C00221,RETAIL,B003,C2,2023-11-26,ACTIVE
C00222,RETAIL,B007,C3,2023-12-21,ACTIVE
C00223,RETAIL,B005,C3,2022-03-25,ACTIVE
C00224,RETAIL,B002,C4,2015-02-18,ACTIVE
C00225,RETAIL,B002,C4,2021-04-02,ACTIVE
C00226,RETAIL,B001,C3,2017-08-02,ACTIVE
C00227,RETAIL,B004,C4,2022-12-02,ACTIVE
C00228,RETAIL,B002,C3,2021-12-14,ACTIVE
C00229,INSTITUTION,B002,C4,2017-01-21,ACTIVE
C00230,RETAIL,B008,C2,2022-09-27,ACTIVE
C00231,INSTITUTION,B003,C5,2019-08-08,ACTIVE
C00232,RETAIL,B003,C3,2023-10-22,ACTIVE
C00233,RETAIL,B001,C3,2022-03-11,ACTIVE
C00234,RETAIL,B004,C3,2021-06-18,ACTIVE
C00235,HNW,B004,C2,2023-03-25,ACTIVE
C00236,RETAIL,B004,C3,2023-04-05,ACTIVE
C00237,RETAIL,B001,C2,2017-06-09,ACTIVE
C00238,RETAIL,B002,C3,2022-04-01,ACTIVE
C00239,RETAIL,B001,C3,2016-05-02,ACTIVE
C00240,RETAIL,B004,C2,2015-01-14,ACTIVE
C00241,RETAIL,B007,C4,2021-12-04,ACTIVE
C00242,RETAIL,B004,C2,2015-08-01,ACTIVE
C00243,RETAIL,B005,C3,2021-05-19,ACTIVE
C00244,HNW,B002,C4,2018-04-09,ACTIVE
C00245,RETAIL,B001,C3,2021-11-17,ACTIVE
C00246,RETAIL,B005,C4,2015-11-13,ACTIVE
C00247,RETAIL,B003,C2,2017-09-16,ACTIVE
C00248,RETAIL,B002,C2,2024-07-14,ACTIVE
C00249,RETAIL,B002,C3,2023-11-26,DORMANT
C00250,RETAIL,B005,C3,2017-06-09,DORMANT
C00251,RETAIL,B007,C4,2019-08-07,ACTIVE
C00252,RETAIL,B001,C2,2020-12-24,DORMANT
C00253,RETAIL,B006,C4,2023-06-26,ACTIVE
C00254,INSTITUTION,B001,C4,2022-05-05,ACTIVE
C00255,RETAIL,B005,C5,2017-06-18,ACTIVE
C00256,RETAIL,B001,C3,2017-11-07,ACTIVE
C00257,RETAIL,B002,C2,2019-03-12,DORMANT
C00258,RETAIL,B005,C2,2016-01-05,ACTIVE
C00259,HNW,B006,C4,2018-07-27,ACTIVE
C00260,RETAIL,B006,C3,2017-02-19,ACTIVE
C00261,RETAIL,B007,C3,2016-10-24,ACTIVE
C00262,RETAIL,B008,C4,2016-10-25,ACTIVE
C00263,HNW,B002,C3,2024-10-13,ACTIVE
C00264,RETAIL,B002,C3,2016-03-06,ACTIVE
C00265,RETAIL,B003,C2,2020-07-13,ACTIVE
C00266,INSTITUTION,B007,C3,2021-02-09,ACTIVE
C00267,INSTITUTION,B002,C3,2024-04-15,ACTIVE
C00268,RETAIL,B008,C4,2024-05-01,ACTIVE
C00269,HNW,B007,C3,2017-08-21,ACTIVE
C00270,RETAIL,B007,C5,2017-05-22,ACTIVE
C00271,RETAIL,B002,C5,2022-02-25,ACTIVE
C00272,RETAIL,B005,C2,2016-04-20,ACTIVE
C00273,HNW,B002,C4,2016-07-09,DORMANT
C00274,RETAIL,B002,C4,2018-06-06,ACTIVE
C00275,RETAIL,B003,C5,2021-10-01,ACTIVE
C00276,HNW,B007,C3,2018-03-26,ACTIVE
C00277,RETAIL,B008,C3,2015-04-26,ACTIVE
C00278,INSTITUTION,B002,C4,2018-02-22,ACTIVE
C00279,INSTITUTION,B002,C5,2016-11-11,ACTIVE
C00280,RETAIL,B004,C3,2023-02-11,ACTIVE
C00281,RETAIL,B007,C3,2021-02-23,ACTIVE
C00282,RETAIL,B007,C4,2018-11-13,ACTIVE
C00283,RETAIL,B001,C3,2023-01-21,DORMANT
C00284,RETAIL,B007,C2,2016-09-21,ACTIVE
C00285,HNW,B001,C3,2015-12-11,ACTIVE
C00286,RETAIL,B007,C2,2017-09-14,ACTIVE
C00287,RETAIL,B003,C4,2022-03-19,ACTIVE
C00288,RETAIL,B007,C2,2020-07-13,ACTIVE
C00289,RETAIL,B006,C4,2019-11-11,ACTIVE
C00290,RETAIL,B005,C2,2024-06-26,ACTIVE
C00291,RETAIL,B007,C4,2016-01-17,ACTIVE
C00292,RETAIL,B002,C4,2015-07-11,ACTIVE
C00293,RETAIL,B003,C2,2018-01-10,ACTIVE
C00294,RETAIL,B001,C3,2015-02-09,ACTIVE
C00295,RETAIL,B008,C3,2016-07-20,ACTIVE
C00296,RETAIL,B002,C3,2016-07-04,ACTIVE
C00297,RETAIL,B002,C2,2017-10-06,ACTIVE
C00298,RETAIL,B007,C4,2016-07-06,ACTIVE
C00299,HNW,B008,C3,2018-08-16,ACTIVE
C00300,RETAIL,B002,C4,2020-10-04,ACTIVE
C00301,RETAIL,B003,C5,2019-03-04,ACTIVE
C00302,HNW,B002,C3,2024-05-27,ACTIVE
C00303,INSTITUTION,B004,C4,2022-09-22,ACTIVE
C00304,INSTITUTION,B008,C3,2015-02-19,ACTIVE
C00305,RETAIL,B005,C2,2016-07-26,ACTIVE
C00306,RETAIL,B001,C4,2017-03-12,ACTIVE
C00307,INSTITUTION,B004,C3,2024-12-27,ACTIVE
C00308,RETAIL,B005,C3,2016-02-14,ACTIVE
C00309,RETAIL,B002,C2,2020-05-13,ACTIVE
C00310,RETAIL,B002,C3,2023-04-25,ACTIVE
C00311,RETAIL,B008,C3,2020-06-24,ACTIVE
C00312,HNW,B001,C2,2015-12-04,ACTIVE
C00313,INSTITUTION,B006,C3,2021-04-03,ACTIVE
C00314,RETAIL,B007,C3,2019-10-22,ACTIVE
C00315,RETAIL,B007,C3,2015-02-19,ACTIVE
C00316,RETAIL,B003,C4,2018-04-23,ACTIVE
C00317,HNW,B008,C3,2019-11-27,ACTIVE
C00318,RETAIL,B004,C2,2023-05-14,ACTIVE
C00319,RETAIL,B005,C2,2021-02-18,ACTIVE
C00320,HNW,B002,C2,2015-06-14,ACTIVE
