commission_id,trade_id,calc_date,commission_rate,gross_commission,discount_amount,net_commission,tax_amount,revenue_amount,calc_batch_id,status
CM0000075,T0000075,2025-03-25,0.00033942,1655705.04,17583.44,1638121.6,92723.86,1545397.74,COMM_202503_B003,POSTED
CM0000076,T0000076,2025-03-25,0.00043486,864006.3,19554.34,844451.96,47799.17,796652.79,COMM_202503_B003,POSTED
CM0000077,T0000077,2025-03-25,0.00045284,9801932.28,179855.82,9622076.45,544645.84,9077430.62,COMM_202503_B004,POSTED
CM0000078,T0000078,2025-03-25,0.00044274,10518220.54,352837.79,10165382.75,575399.02,9589983.73,COMM_202503_B004,POSTED
CM0000079,T0000079,2025-03-25,0.00039464,2604911.41,79375.71,2525535.7,142954.85,2382580.85,COMM_202503_B004,POSTED
CM0000080,T0000080,2025-03-25,0.00021987,10311741.83,107591.52,10204150.31,577593.41,9626556.9,COMM_202503_B004,POSTED
CM0000081,T0000081,2025-03-25,0.00041899,150881.16,1558.34,149322.82,8452.24,140870.59,COMM_202503_B005,POSTED
CM0000082,T0000082,2025-03-25,0.0003436,2483183.14,28003.98,2455179.16,138972.41,2316206.75,COMM_202503_B005,POSTED
CM0000083,T0000083,2025-03-25,0.00037673,1802701.11,37566.41,1765134.69,99913.28,1665221.41,COMM_202503_B005,POSTED
CM0000084,T0000084,2025-03-25,0.00032847,22512706.79,277406.47,22235300.32,1258601.9,20976698.41,COMM_202503_B005,POSTED
CM0000085,T0000085,2025-03-25,0.00025545,1798243.95,46989.25,1751254.69,99127.62,1652127.07,COMM_202503_B006,POSTED
CM0000086,T0000086,2025-03-25,0.00038396,14009695.95,455841.53,13553854.42,767199.31,12786655.11,COMM_202503_B006,POSTED
CM0000087,T0000087,2025-03-25,0.00042742,4815635.08,80654.51,4734980.57,268017.77,4466962.8,COMM_202503_B006,POSTED
CM0000088,T0000088,2025-03-25,0.00039213,3662000.3,53257.09,3608743.2,204268.48,3404474.72,COMM_202503_B006,POSTED
CM0000089,T0000089,2025-03-25,0.00037104,38290990.35,987809.66,37303180.68,2111500.79,35191679.89,COMM_202503_B007,POSTED
CM0000090,T0000090,2025-03-25,0.00039531,45672.0,1152.89,44519.11,2519.95,41999.16,COMM_202503_B007,POSTED
CM0000091,T0000091,2025-03-25,0.0002246,7974.79,171.88,7802.91,441.67,7361.23,COMM_202503_B007,POSTED
CM0000092,T0000092,2025-03-25,0.00045232,4124144.73,94189.89,4029954.85,228110.65,3801844.19,COMM_202503_B007,POSTED
CM0000093,T0000093,2025-03-25,0.0003905,21996166.96,597585.29,21398581.67,1211240.47,20187341.2,COMM_202503_B008,POSTED
CM0000094,T0000094,2025-03-25,0.00038539,4455690.25,68593.26,4387096.99,248326.24,4138770.74,COMM_202503_B008,POSTED
CM0000095,T0000095,2025-03-25,0.00039325,428510.38,4305.01,424205.37,24011.62,400193.74,COMM_202503_B008,POSTED
CM0000096,T0000096,2025-03-25,0.00032382,401072.58,6019.62,395052.97,22361.49,372691.48,COMM_202503_B008,POSTED
CM0000097,T0000097,2025-04-25,0.00045208,17511184.53,589769.5,16921415.03,957815.95,15963599.09,COMM_202504_B001,POSTED
CM0000098,T0000098,2025-04-25,0.00042673,21465495.47,245638.13,21219857.34,1201124.0,20018733.34,COMM_202504_B001,POSTED
CM0000099,T0000099,2025-04-25,0.00033912,4543225.34,92991.41,4450233.94,251900.03,4198333.9,COMM_202504_B001,POSTED
CM0000100,T0000100,2025-04-25,0.00038052,2459197.01,60240.76,2398956.25,135789.98,2263166.27,COMM_202504_B001,POSTED
CM0000101,T0000101,2025-04-25,0.00036472,5429838.02,180318.33,5249519.69,297142.62,4952377.07,COMM_202504_B002,POSTED
CM0000102,T0000102,2025-04-25,0.00044867,7585067.35,108341.23,7476726.12,423210.91,7053515.21,COMM_202504_B002,POSTED
CM0000103,T0000103,2025-04-25,0.0003842,29315443.25,608407.11,28707036.14,1624926.57,27082109.56,COMM_202504_B002,POSTED
CM0000104,T0000104,2025-04-25,0.0002356,15321344.38,516548.13,14804796.25,838007.33,13966788.91,COMM_202504_B002,POSTED
CM0000105,T0000105,2025-04-25,0.0002212,751649.42,22400.02,729249.41,41278.27,687971.14,COMM_202504_B003,POSTED
CM0000106,T0000106,2025-04-25,0.00023164,10159780.15,201460.1,9958320.05,563678.49,9394641.56,COMM_202504_B003,POSTED
CM0000107,T0000107,2025-04-25,0.00039508,19523687.61,285775.67,19237911.94,1088938.41,18148973.53,COMM_202504_B003,POSTED
CM0000108,T0000108,2025-04-25,0.00042222,6841250.07,211980.64,6629269.43,375241.67,6254027.77,COMM_202504_B003,POSTED
CM0000109,T0000109,2025-04-25,0.00038082,16557593.75,248917.77,16308675.98,923132.6,15385543.38,COMM_202504_B004,POSTED
CM0000110,T0000110,2025-04-25,0.00033181,6024322.32,76203.45,5948118.87,336685.97,5611432.9,COMM_202504_B004,POSTED
CM0000111,T0000111,2025-04-25,0.00024955,2624171.71,75852.92,2548318.78,144244.46,2404074.32,COMM_202504_B004,POSTED
CM0000112,T0000112,2025-04-25,0.00038361,6196686.47,70857.1,6125829.37,346745.06,5779084.31,COMM_202504_B004,POSTED
CM0000113,T0000113,2025-04-25,0.0004111,1168311.3,19867.74,1148443.57,65006.24,1083437.33,COMM_202504_B005,POSTED
CM0000114,T0000114,2025-04-25,0.00040355,8349121.09,84205.52,8264915.57,467825.41,7797090.16,COMM_202504_B005,POSTED
CM0000115,T0000115,2025-04-25,0.00041644,6454038.64,100774.3,6353264.34,359618.74,5993645.6,COMM_202504_B005,POSTED
CM0000116,T0000116,2025-04-25,0.00038815,9670285.66,129773.95,9540511.71,540028.96,9000482.75,COMM_202504_B005,POSTED
CM0000117,T0000117,2025-04-25,0.00036975,5537773.66,170457.15,5367316.51,303810.37,5063506.14,COMM_202504_B006,POSTED
CM0000118,T0000118,2025-04-25,0.0003716,9539602.63,235354.21,9304248.42,526655.57,8777592.85,COMM_202504_B006,POSTED
CM0000119,T0000119,2025-04-25,0.0003063,693544.81,21498.64,672046.17,38040.35,634005.82,COMM_202504_B006,POSTED
CM0000120,T0000120,2025-04-25,0.00044988,7255429.89,103809.72,7151620.17,404808.69,6746811.48,COMM_202504_B006,POSTED
CM0000121,T0000121,2025-04-25,0.00030378,8216589.7,267681.88,7948907.81,449938.18,7498969.64,COMM_202504_B007,POSTED
CM0000122,T0000122,2025-04-25,0.00023064,3302837.02,109416.26,3193420.77,180759.67,3012661.1,COMM_202504_B007,POSTED
CM0000123,T0000123,2025-04-25,0.00021293,1678952.96,38506.84,1640446.12,92855.44,1547590.68,COMM_202504_B007,POSTED
CM0000124,T0000124,2025-04-25,0.00025371,27107709.21,523829.17,26583880.04,1504747.93,25079132.11,COMM_202504_B007,POSTED
CM0000125,T0000125,2025-04-25,0.00041579,1502472.68,43980.06,1458492.62,82556.19,1375936.43,COMM_202504_B008,POSTED
CM0000126,T0000126,2025-04-25,0.00038612,3742104.23,77395.95,3664708.28,207436.32,3457271.96,COMM_202504_B008,POSTED
CM0000127,T0000127,2025-04-25,0.0002518,20078771.66,287126.26,19791645.4,1120281.82,18671363.59,COMM_202504_B008,POSTED
CM0000128,T0000128,2025-04-25,0.00042338,403638.96,11350.07,392288.89,22205.03,370083.86,COMM_202504_B008,POSTED
CM0000129,T0000129,2025-05-25,0.00043115,23343030.26,236446.08,23106584.18,1307919.86,21798664.32,COMM_202505_B001,POSTED
CM0000130,T0000130,2025-05-25,0.00021178,5783125.27,182772.74,5600352.53,317001.09,5283351.44,COMM_202505_B001,POSTED
CM0000131,T0000131,2025-05-25,0.00038402,19108776.49,208423.97,18900352.53,1069831.28,17830521.25,COMM_202505_B001,POSTED
CM0000132,T0000132,2025-05-25,0.00043038,1439166.17,18387.23,1420778.94,80421.45,1340357.49,COMM_202505_B001,POSTED
CM0000133,T0000133,2025-05-25,0.00034325,1868467.59,41857.31,1826610.28,103393.03,1723217.25,COMM_202505_B002,POSTED
CM0000134,T0000134,2025-05-25,0.00040396,6540024.81,199100.56,6340924.24,358920.24,5982004.0,COMM_202505_B002,POSTED
CM0000135,T0000135,2025-05-25,0.00040588,28802916.87,478479.2,28324437.67,1603270.06,26721167.62,COMM_202505_B002,POSTED
CM0000136,T0000136,2025-05-25,0.00044913,25152393.07,359280.05,24793113.02,1403383.76,23389729.26,COMM_202505_B002,POSTED
CM0000137,T0000137,2025-05-25,0.00041176,13553077.55,151640.87,13401436.68,758571.89,12642864.79,COMM_202505_B003,POSTED
CM0000138,T0000138,2025-05-25,0.00044652,1967653.41,23801.24,1943852.17,110029.37,1833822.8,COMM_202505_B003,POSTED
CM0000139,T0000139,2025-05-25,0.00039417,15374733.87,374354.06,15000379.8,849078.1,14151301.7,COMM_202505_B003,POSTED
CM0000140,T0000140,2025-05-25,0.00023352,9786653.75,297017.01,9489636.74,537149.25,8952487.49,COMM_202505_B003,POSTED
CM0000141,T0000141,2025-05-25,0.00040556,880797.99,21770.33,859027.66,48624.21,810403.46,COMM_202505_B004,POSTED
CM0000142,T0000142,2025-05-25,0.00040599,8693878.82,192965.2,8500913.61,481183.79,8019729.82,COMM_202505_B004,POSTED
CM0000143,T0000143,2025-05-25,0.00042854,14000034.14,218862.89,13781171.25,780066.3,13001104.95,COMM_202505_B004,POSTED
CM0000144,T0000144,2025-05-25,0.00042958,10800200.99,234516.64,10565684.35,598057.6,9967626.74,COMM_202505_B004,POSTED
CM0000145,T0000145,2025-05-25,0.00045313,19967265.6,635932.8,19331332.8,1094226.38,18237106.41,COMM_202505_B005,POSTED
CM0000146,T0000146,2025-05-25,0.00038342,2984843.12,96604.49,2888238.63,163485.21,2724753.42,COMM_202505_B005,POSTED
CM0000147,T0000147,2025-05-25,0.00043182,1080132.76,21130.27,1059002.49,59943.54,999058.95,COMM_202505_B005,POSTED
CM0000148,T0000148,2025-05-25,0.00043722,4430469.02,130754.59,4299714.43,243380.06,4056334.37,COMM_202505_B005,POSTED
CM0000149,T0000149,2025-05-25,0.00024766,41728.65,1398.84,40329.81,2282.82,38046.99,COMM_202505_B006,POSTED
CM0000150,T0000150,2025-05-25,0.00031071,10201223.75,242232.09,9958991.66,563716.51,9395275.15,COMM_202505_B006,POSTED
CM0000151,T0000151,2025-05-25,0.00022415,1471049.9,36533.91,1434515.99,81199.02,1353316.97,COMM_202505_B006,POSTED
CM0000152,T0000152,2025-05-25,0.00021498,13258074.03,177877.4,13080196.63,740388.49,12339808.14,COMM_202505_B006,POSTED
CM0000153,T0000153,2025-05-25,0.00038636,12758700.31,237362.76,12521337.55,708754.96,11812582.59,COMM_202505_B007,POSTED
CM0000154,T0000154,2025-05-25,0.00044596,3635099.39,96447.99,3538651.4,200301.02,3338350.38,COMM_202505_B007,POSTED
CM0000155,T0000155,2025-05-25,0.00023286,12397102.35,191897.63,12205204.72,690860.64,11514344.08,COMM_202505_B007,POSTED
CM0000156,T0000156,2025-05-25,0.00022333,14975672.33,341306.34,14634365.98,828360.34,13806005.65,COMM_202505_B007,POSTED
CM0000157,T0000157,2025-05-25,0.00032114,13369383.04,266026.18,13103356.86,741699.44,12361657.42,COMM_202505_B008,POSTED
CM0000158,T0000158,2025-05-25,0.00037988,2118382.33,68428.83,2049953.5,116035.1,1933918.4,COMM_202505_B008,POSTED
CM0000159,T0000159,2025-05-25,0.00025083,10322028.55,188895.46,10133133.1,573573.57,9559559.53,COMM_202505_B008,POSTED
CM0000160,T0000160,2025-05-25,0.00041685,2370354.2,78509.31,2291844.89,129727.07,2162117.82,COMM_202505_B008,POSTED
CM0000161,T0000161,2025-06-25,0.00044956,34790496.12,880372.21,33910123.91,1919440.98,31990682.94,COMM_202506_B001,POSTED
CM0000162,T0000162,2025-06-25,0.00033415,1023986.23,25265.49,998720.74,56531.36,942189.38,COMM_202506_B001,POSTED
CM0000163,T0000163,2025-06-25,0.00041134,10844055.65,283976.52,10560079.12,597740.33,9962338.8,COMM_202506_B001,POSTED
CM0000164,T0000164,2025-06-25,0.00030462,1279434.21,27493.03,1251941.19,70864.6,1181076.59,COMM_202506_B001,POSTED
CM0000165,T0000165,2025-06-25,0.00043509,4378133.35,67572.47,4310560.88,243994.01,4066566.86,COMM_202506_B002,POSTED
CM0000166,T0000166,2025-06-25,0.000408,2487147.74,74436.46,2412711.29,136568.56,2276142.72,COMM_202506_B002,POSTED
CM0000167,T0000167,2025-06-25,0.00042559,47960490.38,741447.97,47219042.41,2672775.99,44546266.42,COMM_202506_B002,POSTED
CM0000168,T0000168,2025-06-25,0.00040856,4574842.48,116075.84,4458766.64,252383.02,4206383.62,COMM_202506_B002,POSTED
CM0000169,T0000169,2025-06-25,0.00045276,4845216.87,100619.18,4744597.69,268562.13,4476035.56,COMM_202506_B003,POSTED
CM0000170,T0000170,2025-06-25,0.00041048,1708486.59,45483.73,1663002.85,94132.24,1568870.62,COMM_202506_B003,POSTED
CM0000171,T0000171,2025-06-25,0.00033751,1097520.64,20838.92,1076681.72,60944.25,1015737.47,COMM_202506_B003,POSTED
CM0000172,T0000172,2025-06-25,0.00032458,30868113.61,391693.09,30476420.52,1725080.41,28751340.11,COMM_202506_B003,POSTED
CM0000173,T0000173,2025-06-25,0.00039694,14426387.43,281643.45,14144743.98,800645.89,13344098.1,COMM_202506_B004,POSTED
CM0000174,T0000174,2025-06-25,0.00040363,979937.45,24243.32,955694.13,54095.89,901598.24,COMM_202506_B004,POSTED
CM0000175,T0000175,2025-06-25,0.00041058,15455227.51,355871.82,15099355.69,854680.51,14244675.18,COMM_202506_B004,POSTED
CM0000176,T0000176,2025-06-25,0.00038961,1982961.93,62161.07,1920800.86,108724.58,1812076.29,COMM_202506_B004,POSTED
CM0000177,T0000177,2025-06-25,0.00042433,12238959.13,165092.07,12073867.06,683426.44,11390440.62,COMM_202506_B005,POSTED
CM0000178,T0000178,2025-06-25,0.00042826,4937469.29,84199.59,4853269.69,274713.38,4578556.31,COMM_202506_B005,POSTED
CM0000179,T0000179,2025-06-25,0.00042514,7284398.3,97140.47,7187257.83,406825.92,6780431.92,COMM_202506_B005,POSTED
CM0000180,T0000180,2025-06-25,0.0003879,2210204.0,44112.04,2166091.96,122608.98,2043482.98,COMM_202506_B005,POSTED
CM0000181,T0000181,2025-06-25,0.00044128,3664603.66,106619.35,3557984.31,201395.34,3356588.97,COMM_202506_B006,POSTED
CM0000182,T0000182,2025-06-25,0.00040682,6087623.32,93787.98,5993835.34,339273.7,5654561.64,COMM_202506_B006,POSTED
CM0000183,T0000183,2025-06-25,0.00037686,8947148.32,273409.38,8673738.94,490966.35,8182772.58,COMM_202506_B006,POSTED
CM0000184,T0000184,2025-06-25,0.00041814,5244019.42,109145.52,5134873.9,290653.24,4844220.66,COMM_202506_B006,POSTED
CM0000185,T0000185,2025-06-25,0.00022996,718096.53,22244.48,695852.04,39387.85,656464.19,COMM_202506_B007,POSTED
CM0000186,T0000186,2025-06-25,0.00043507,16903914.04,391804.67,16512109.36,934647.7,15577461.66,COMM_202506_B007,POSTED
CM0000187,T0000187,2025-06-25,0.00023514,23251332.64,645515.44,22605817.2,1279574.56,21326242.64,COMM_202506_B007,POSTED
CM0000188,T0000188,2025-06-25,0.00042961,1086418.96,19440.72,1066978.25,60395.0,1006583.25,COMM_202506_B007,POSTED
CM0000189,T0000189,2025-06-25,0.00022461,1275743.35,34320.93,1241422.42,70269.19,1171153.22,COMM_202506_B008,POSTED
CM0000190,T0000190,2025-06-25,0.00045306,1292170.49,13597.36,1278573.13,72372.06,1206201.07,COMM_202506_B008,POSTED
CM0000191,T0000191,2025-06-25,0.00030928,4795512.73,127662.6,4667850.13,264217.93,4403632.19,COMM_202506_B008,POSTED
CM0000192,T0000192,2025-06-25,0.00043569,19330748.3,238107.43,19092640.87,1080715.52,18011925.35,COMM_202506_B008,POSTED
CM0000193,T0000193,2025-07-25,0.00044317,496694.86,14554.1,482140.76,27290.99,454849.77,COMM_202507_B001,POSTED
CM0000194,T0000194,2025-07-25,0.00043007,29433680.95,796298.79,28637382.16,1620983.9,27016398.26,COMM_202507_B001,POSTED
CM0000195,T0000195,2025-07-25,0.00038704,3641503.66,70408.65,3571095.01,202137.45,3368957.56,COMM_202507_B001,POSTED
CM0000196,T0000196,2025-07-25,0.00031427,11349664.81,203421.78,11146243.03,630919.42,10515323.61,COMM_202507_B001,POSTED
CM0000197,T0000197,2025-07-25,0.00030043,12424645.49,299524.68,12125120.81,686327.59,11438793.21,COMM_202507_B002,POSTED
CM0000198,T0000198,2025-07-25,0.00024702,15054700.28,337342.53,14717357.75,833057.99,13884299.76,COMM_202507_B002,POSTED
CM0000199,T0000199,2025-07-25,0.00042909,16788624.27,316540.59,16472083.67,932382.09,15539701.58,COMM_202507_B002,POSTED
CM0000200,T0000200,2025-07-25,0.00037201,11812040.13,330526.17,11481513.97,649897.02,10831616.95,COMM_202507_B002,POSTED
CM0000201,T0000201,2025-07-25,0.00042711,3472952.99,100896.29,3372056.7,190871.13,3181185.57,COMM_202507_B003,POSTED
CM0000202,T0000202,2025-07-25,0.00037465,21975156.53,252339.67,21722816.87,1229593.41,20493223.46,COMM_202507_B003,POSTED
CM0000203,T0000203,2025-07-25,0.00040864,3086549.07,94981.98,2991567.1,169333.99,2822233.11,COMM_202507_B003,POSTED
CM0000204,T0000204,2025-07-25,0.00042216,7618830.84,87821.98,7531008.86,426283.52,7104725.34,COMM_202507_B003,POSTED
CM0000205,T0000205,2025-07-25,0.00037126,1936364.95,30003.62,1906361.33,107907.25,1798454.08,COMM_202507_B004,POSTED
CM0000206,T0000206,2025-07-25,0.00042304,25116361.46,496669.35,24619692.11,1393567.48,23226124.63,COMM_202507_B004,POSTED
CM0000207,T0000207,2025-07-25,0.00040203,2392555.82,33547.8,2359008.02,133528.76,2225479.26,COMM_202507_B004,POSTED
