pool_id,period,cost_type,cost_name,amount,source_account_code,allocation_basis,owner_dept
POOL00048,2025-05,HQ_MANAGEMENT_COST,总部管理成本-2,3663534.93,6602,HEADCOUNT,FINANCE_COE
POOL00049,2025-05,RESEARCH_SUPPORT_COST,研究支持成本-2,8317265.5,6602,REVENUE,FINANCE_COE
POOL00050,2025-05,BRANCH_OPERATION_COST,营业部运营成本-2,810517.03,6602,AREA,FINANCE_COE
POOL00051,2025-06,IT_SYSTEM_COST,IT系统成本-1,6499230.67,6602,TRADE_COUNT,FINANCE_COE
POOL00052,2025-06,MARKET_DATA_COST,行情资讯成本-1,3030931.29,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00053,2025-06,HQ_MANAGEMENT_COST,总部管理成本-1,6235579.79,6602,HEADCOUNT,FINANCE_COE
POOL00054,2025-06,RESEARCH_SUPPORT_COST,研究支持成本-1,14592619.07,6602,REVENUE,FINANCE_COE
POOL00055,2025-06,BRANCH_OPERATION_COST,营业部运营成本-1,13145293.31,6602,AREA,FINANCE_COE
POOL00056,2025-06,IT_SYSTEM_COST,IT系统成本-2,1654351.84,6602,TRADE_COUNT,FINANCE_COE
POOL00057,2025-06,MARKET_DATA_COST,行情资讯成本-2,3260408.42,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00058,2025-06,HQ_MANAGEMENT_COST,总部管理成本-2,10407090.14,6602,HEADCOUNT,FINANCE_COE
POOL00059,2025-06,RESEARCH_SUPPORT_COST,研究支持成本-2,20970569.74,6602,REVENUE,FINANCE_COE
POOL00060,2025-06,BRANCH_OPERATION_COST,营业部运营成本-2,2955936.0,6602,AREA,FINANCE_COE
POOL00061,2025-07,IT_SYSTEM_COST,IT系统成本-1,4314247.18,6602,TRADE_COUNT,FINANCE_COE
POOL00062,2025-07,MARKET_DATA_COST,行情资讯成本-1,21499102.7,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00063,2025-07,HQ_MANAGEMENT_COST,总部管理成本-1,2444526.92,6602,HEADCOUNT,FINANCE_COE
POOL00064,2025-07,RESEARCH_SUPPORT_COST,研究支持成本-1,26893.52,6602,REVENUE,FINANCE_COE
POOL00065,2025-07,BRANCH_OPERATION_COST,营业部运营成本-1,14479550.91,6602,AREA,FINANCE_COE
POOL00066,2025-07,IT_SYSTEM_COST,IT系统成本-2,4110526.82,6602,TRADE_COUNT,FINANCE_COE
POOL00067,2025-07,MARKET_DATA_COST,行情资讯成本-2,1761619.07,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00068,2025-07,HQ_MANAGEMENT_COST,总部管理成本-2,13889986.03,6602,HEADCOUNT,FINANCE_COE
POOL00069,2025-07,RESEARCH_SUPPORT_COST,研究支持成本-2,436700.96,6602,REVENUE,FINANCE_COE
POOL00070,2025-07,BRANCH_OPERATION_COST,营业部运营成本-2,14680707.37,6602,AREA,FINANCE_COE
POOL00071,2025-08,IT_SYSTEM_COST,IT系统成本-1,2342955.28,6602,TRADE_COUNT,FINANCE_COE
POOL00072,2025-08,MARKET_DATA_COST,行情资讯成本-1,16744029.02,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00073,2025-08,HQ_MANAGEMENT_COST,总部管理成本-1,2624929.17,6602,HEADCOUNT,FINANCE_COE
POOL00074,2025-08,RESEARCH_SUPPORT_COST,研究支持成本-1,9689555.3,6602,REVENUE,FINANCE_COE
POOL00075,2025-08,BRANCH_OPERATION_COST,营业部运营成本-1,4664085.16,6602,AREA,FINANCE_COE
POOL00076,2025-08,IT_SYSTEM_COST,IT系统成本-2,7629430.91,6602,TRADE_COUNT,FINANCE_COE
POOL00077,2025-08,MARKET_DATA_COST,行情资讯成本-2,15893601.48,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00078,2025-08,HQ_MANAGEMENT_COST,总部管理成本-2,13391957.08,6602,HEADCOUNT,FINANCE_COE
POOL00079,2025-08,RESEARCH_SUPPORT_COST,研究支持成本-2,6329784.8,6602,REVENUE,FINANCE_COE
POOL00080,2025-08,BRANCH_OPERATION_COST,营业部运营成本-2,1398422.56,6602,AREA,FINANCE_COE
POOL00081,2025-09,IT_SYSTEM_COST,IT系统成本-1,8279087.67,6602,TRADE_COUNT,FINANCE_COE
POOL00082,2025-09,MARKET_DATA_COST,行情资讯成本-1,20774684.28,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00083,2025-09,HQ_MANAGEMENT_COST,总部管理成本-1,10220342.0,6602,HEADCOUNT,FINANCE_COE
POOL00084,2025-09,RESEARCH_SUPPORT_COST,研究支持成本-1,4167328.13,6602,REVENUE,FINANCE_COE
POOL00085,2025-09,BRANCH_OPERATION_COST,营业部运营成本-1,2041637.52,6602,AREA,FINANCE_COE
POOL00086,2025-09,IT_SYSTEM_COST,IT系统成本-2,16853122.29,6602,TRADE_COUNT,FINANCE_COE
POOL00087,2025-09,MARKET_DATA_COST,行情资讯成本-2,2843709.6,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00088,2025-09,HQ_MANAGEMENT_COST,总部管理成本-2,15059313.1,6602,HEADCOUNT,FINANCE_COE
POOL00089,2025-09,RESEARCH_SUPPORT_COST,研究支持成本-2,6926373.31,6602,REVENUE,FINANCE_COE
POOL00090,2025-09,BRANCH_OPERATION_COST,营业部运营成本-2,5802709.92,6602,AREA,FINANCE_COE
POOL00091,2025-10,IT_SYSTEM_COST,IT系统成本-1,1875330.67,6602,TRADE_COUNT,FINANCE_COE
POOL00092,2025-10,MARKET_DATA_COST,行情资讯成本-1,17849717.09,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00093,2025-10,HQ_MANAGEMENT_COST,总部管理成本-1,835422.4,6602,HEADCOUNT,FINANCE_COE
POOL00094,2025-10,RESEARCH_SUPPORT_COST,研究支持成本-1,2865571.52,6602,REVENUE,FINANCE_COE
POOL00095,2025-10,BRANCH_OPERATION_COST,营业部运营成本-1,8884206.01,6602,AREA,FINANCE_COE
POOL00096,2025-10,IT_SYSTEM_COST,IT系统成本-2,27265837.89,6602,TRADE_COUNT,FINANCE_COE
POOL00097,2025-10,MARKET_DATA_COST,行情资讯成本-2,4129824.17,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00098,2025-10,HQ_MANAGEMENT_COST,总部管理成本-2,729588.16,6602,HEADCOUNT,FINANCE_COE
POOL00099,2025-10,RESEARCH_SUPPORT_COST,研究支持成本-2,1577902.34,6602,REVENUE,FINANCE_COE
POOL00100,2025-10,BRANCH_OPERATION_COST,营业部运营成本-2,21846758.77,6602,AREA,FINANCE_COE
POOL00101,2025-11,IT_SYSTEM_COST,IT系统成本-1,5629765.14,6602,TRADE_COUNT,FINANCE_COE
POOL00102,2025-11,MARKET_DATA_COST,行情资讯成本-1,2415589.06,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00103,2025-11,HQ_MANAGEMENT_COST,总部管理成本-1,7631680.74,6602,HEADCOUNT,FINANCE_COE
POOL00104,2025-11,RESEARCH_SUPPORT_COST,研究支持成本-1,6444277.64,6602,REVENUE,FINANCE_COE
POOL00105,2025-11,BRANCH_OPERATION_COST,营业部运营成本-1,3852688.01,6602,AREA,FINANCE_COE
POOL00106,2025-11,IT_SYSTEM_COST,IT系统成本-2,17819675.88,6602,TRADE_COUNT,FINANCE_COE
POOL00107,2025-11,MARKET_DATA_COST,行情资讯成本-2,4863930.54,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00108,2025-11,HQ_MANAGEMENT_COST,总部管理成本-2,15458477.43,6602,HEADCOUNT,FINANCE_COE
POOL00109,2025-11,RESEARCH_SUPPORT_COST,研究支持成本-2,25247613.46,6602,REVENUE,FINANCE_COE
POOL00110,2025-11,BRANCH_OPERATION_COST,营业部运营成本-2,10756018.22,6602,AREA,FINANCE_COE
POOL00111,2025-12,IT_SYSTEM_COST,IT系统成本-1,7878290.12,6602,TRADE_COUNT,FINANCE_COE
POOL00112,2025-12,MARKET_DATA_COST,行情资讯成本-1,3116214.84,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00113,2025-12,HQ_MANAGEMENT_COST,总部管理成本-1,16373261.52,6602,HEADCOUNT,FINANCE_COE
POOL00114,2025-12,RESEARCH_SUPPORT_COST,研究支持成本-1,1275472.07,6602,REVENUE,FINANCE_COE
POOL00115,2025-12,BRANCH_OPERATION_COST,营业部运营成本-1,1129303.06,6602,AREA,FINANCE_COE
POOL00116,2025-12,IT_SYSTEM_COST,IT系统成本-2,307563.68,6602,TRADE_COUNT,FINANCE_COE
POOL00117,2025-12,MARKET_DATA_COST,行情资讯成本-2,9774052.68,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00118,2025-12,HQ_MANAGEMENT_COST,总部管理成本-2,41797417.8,6602,HEADCOUNT,FINANCE_COE
POOL00119,2025-12,RESEARCH_SUPPORT_COST,研究支持成本-2,1930448.07,6602,REVENUE,FINANCE_COE
POOL00120,2025-12,BRANCH_OPERATION_COST,营业部运营成本-2,24710730.34,6602,AREA,FINANCE_COE
